hName,hGender,hClass,hOcc,hLoc,hActive,hID,hOMID,svName,svEthnicity,svEthID,svEthOMID,svGender,svAge,svActive,svID,svOMID,bName,bGender,bClass,bOcc,bLocale,bActive,bID,bOMID,term,preg_mo,pL,pD,pF,pS,actTitle,actDate,actYear,ActDescription,aa (Author),aaID,aaOMID,actArItem,aArItemID,ArItemOMID,rights,actID,actTitle,actOMID,,,,,,,,,,,,,,,,,,,,,,,,,,
Opizino de Servaricia,male,artefices,31170,,1436–1461,78bd4759-d55d-4a3c-aa35-2ea67dd4515c,30779,Margherita,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,30,1431–1461,8b003f8d-895c-4267-9118-985925cd2324,35512,Cattaneo Grimaldi,male,nobiles,,,1436–1461,14487d2b-6530-44cb-8963-707f6ae533c0,23662,4,7,150,,,,"Tommaso Duracino, filza 6, series I, nr. 325",1461-09-25,1461,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 893,b4ce29bc-1c24-4f02-bd03-22ab84e5a8f1,37837,Archivio di stato di Genova,f7b08cda-2b89-4f41-8225-9cd258b7e83e,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrogio Lomellini,male,nobiles,,,1436–1461,806a9714-8c3e-4396-a356-9cea0ff9c8fe,23910,Margherita,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,22,1439–1461,149fa679-6c33-4fc9-b2f2-994dfd0ae1ea,39031,Cattaneo Grimaldi,male,nobiles,,,1436–1461,14487d2b-6530-44cb-8963-707f6ae533c0,23662,4,7,200,,,,"Tommaso Duracino, filza 6, series I, nr. 202",1461-05-30,1461,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 893,b4ce29bc-1c24-4f02-bd03-22ab84e5a8f1,37837,Archivio di stato di Genova,b74f539e-f763-4d5a-9296-198bfc5b82e9,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Rato,male,artefices,27564,,1431–1456,2a51726a-4e97-488e-aacf-4df057aa1065,38672,Marta,,,,female,18,1438–1456,6257511e-0b1e-4791-b672-d3c978586a54,39050,Cattaneo Grimaldi,male,nobiles,,,1431–1456,14487d2b-6530-44cb-8963-707f6ae533c0,23662,7,4,200,,,,"Tommaso Duracino, filza 2, series II, nr. 326",1456-12-15,1456,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 889,101c0bd8-a7ea-41d9-b9dc-62f2509bd4ac,37833,Archivio di stato di Genova,1f4104fc-490e-41f2-a437-1cef1036e942,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmo Lomellini,male,nobiles,,,1436–1461,5ebb1c52-52c0-4494-80a3-1787f0899fbe,24230,Agnese,,,,female,25,1436–1461,f8367f17-a164-4d37-92ec-dc1dd8ee3723,39099,Cattaneo Grimaldi,male,nobiles,,,1436–1461,14487d2b-6530-44cb-8963-707f6ae533c0,23662,,,160,,,,"Tommaso Duracino, filza 6, series I, nr. 348",1461-10-10,1461,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 889,101c0bd8-a7ea-41d9-b9dc-62f2509bd4ac,37833,Archivio di stato di Genova,e63654e3-d857-416e-a4b6-c0be5ad70bde,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domenico Prezenda,male,artefices,,,1436–1461,9c0a39fd-e4a1-43e4-8ea8-e39a8d17d2f1,30263,Maria,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,27,1434–1461,5b8cf145-d5a8-43c8-b1bf-58c3ccb43ba6,39106,Cattaneo Grimaldi,male,nobiles,,,1436–1461,14487d2b-6530-44cb-8963-707f6ae533c0,23662,4,7,250,,,,"Tommaso Duracino, filza 6, series I, nr. 206",1461-06-05,1461,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 893,b4ce29bc-1c24-4f02-bd03-22ab84e5a8f1,37837,Archivio di stato di Genova,b2e813c5-82cb-4725-871f-2da4c32b13bf,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrico Squarciafico,male,nobiles,,,1431–1456,782653ed-4213-4ffb-b20f-6fffb17fb181,38653,Agnese,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd100,26258,female,32,1424–1456,9f43a234-bd08-4db2-97ec-f9dcd9cc5dc0,39108,Cattaneo Grimaldi,male,nobiles,,,1431–1456,14487d2b-6530-44cb-8963-707f6ae533c0,23662,,,150,,,paghe,"Tommaso Duracino, filza 2, series II, nr. 62",1456-03-10,1456,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 889,101c0bd8-a7ea-41d9-b9dc-62f2509bd4ac,37833,Archivio di stato di Genova,32bb8c6d-8d5d-403f-b5ad-355c10020822,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enrico Squarciafico,male,nobiles,,,1433–1458,782653ed-4213-4ffb-b20f-6fffb17fb181,38653,Agnese,,,,female,36,1432–1458,cda8878d-f303-48cb-b0f3-61bcbc5cd116,39110,Cattaneo Grimaldi,male,nobiles,,,1433–1458,14487d2b-6530-44cb-8963-707f6ae533c0,23662,3,8,150,,,,"Tommaso Duracino, filza 3, series II, nr. 218",1458-10-21,1458,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 890,d7974564-3893-43a3-b47c-d5a67e9d9411,37834,Archivio di stato di Genova,cac62474-f7fb-4040-83db-aa5cb409a2f4,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galeotto Salvago,male,nobiles,,,1432–1457,b7b1941c-1d69-4567-a182-e3dcbfb5f5b3,38717,Anna,,,,female,23,1434–1457,7d950131-ff6f-4b9b-8ae5-60c808f19124,39124,Cattaneo Grimaldi,male,nobiles,,,1432–1457,14487d2b-6530-44cb-8963-707f6ae533c0,23662,5,6,180,,,,"Tommaso Duracino, filza 3, series I, nr. 119",1457-04-13,1457,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 890,d7974564-3893-43a3-b47c-d5a67e9d9411,37834,Archivio di stato di Genova,46db7565-3350-4a69-b91b-4474be5f7744,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giacomo Spinola,male,nobiles,,,1432–1457,18205e31-9047-493b-b38d-e8d767cdc21a,38656,Lucia,,,,female,26,1431–1457,af5ccba7-58d5-46d5-a022-2c2265b69581,39133,Cattaneo Grimaldi,male,nobiles,,,1432–1457,14487d2b-6530-44cb-8963-707f6ae533c0,23662,4,7,170,,,,"Tommaso Duracino, filza 3, series I, nr. 7",1457-01-08,1457,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 890,d7974564-3893-43a3-b47c-d5a67e9d9411,37834,Archivio di stato di Genova,91df868d-fa67-4211-b66a-fedbb7a686aa,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovanni Lercari,male,nobiles,,,1436–1461,a98ac309-539b-4a4f-bf7a-fc324e1474dd,30500,Lucia,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,30,1431–1461,9eb807ca-35d6-4f78-b283-4abc1ba8d25b,39149,Cattaneo Grimaldi,male,nobiles,,,1436–1461,14487d2b-6530-44cb-8963-707f6ae533c0,23662,,,200,,,,"Tommaso Duracino, filza 6, series I, nr. 158",1461-04-22,1461,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 893,b4ce29bc-1c24-4f02-bd03-22ab84e5a8f1,37837,Archivio di stato di Genova,95e7f234-2577-47d6-ac32-1391799a6b63,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
