Id,Label,ItemType,Date,Gender,Class,Active
23021,Isabella —,Person,,female,,-1343
23070,Gironima Banchero,Person,,female,,-1639
23145,Filippo Camilla,Person,,male,nobiles,–
23188,Baldassare Cattaneo,Person,,male,nobiles,–
23189,Barnaba Cattaneo,Person,,male,nobiles,–
23190,Battina Cattaneo,Person,,female,nobiles,1423–1460
23191,Battina Cattaneo,Person,,female,nobiles,1461–1472
23192,Brigida Cattaneo,Person,,female,nobiles,–
23195,Cristoforo Cattaneo,Person,,male,nobiles,1460–1489
23196,Cristoforo Cattaneo,Person,,male,nobiles,–
23198,Filippo Cattaneo,Person,,male,nobiles,–
23199,Filippo Cattaneo,Person,,male,nobiles,–
23202,Giacomo Cattaneo,Person,,male,nobiles,1464–1514
23203,Ginevra Cattaneo,Person,,female,nobiles,-1568
23204,Giovanni Cattaneo,Person,,male,nobiles,–
23206,Gironima Cattaneo,Person,,female,nobiles,–
23211,Linò Cattaneo,Person,,female,nobiles,–
23213,Lombarda Cattaneo,Person,,female,nobiles,1427–1451
23214,Lorenzo Cattaneo,Person,,male,nobiles,-1510
23216,Lucchina Cattaneo,Person,,female,nobiles,-1464
23217,Luchino Cattaneo,Person,,male,nobiles,–
23218,Maddalena Cattaneo,Person,,female,nobiles,–
23219,Marcoaldo Cattaneo,Person,,male,nobiles,–
23220,Maria Cattaneo,Person,,female,nobiles,–
23221,Maria Cattaneo,Person,,female,nobiles,–
23222,Niccolò Cattaneo,Person,,male,nobiles,–
23228,Raffaele Cattaneo,Person,,male,nobiles,–
23257,Gironima Centurione,Person,,female,nobiles,–
23542,Cattaneo Gentile,Person,,male,nobiles,–
23660,Brigida Grimaldi,Person,,female,nobiles,1451–1468
23890,Agostino Lomellini,Person,,male,nobiles,1528–1577
23891,Agostino Lomellini,Person,,male,nobiles,-1643
23918,Andalò Lomellini,Person,,male,nobiles,1412–1464
23932,Andreola Lomellini,Person,,female,nobiles,1330–1347
23938,Angela Lomellini,Person,,female,nobiles,–
23945,Angelo Lomellini,Person,,male,nobiles,1313–1333
23965,Antonio Lomellini,Person,,male,nobiles,1455–1468
23982,Antoniotto Lomellini,Person,,male,nobiles,1414–1438
23989,Argenta Lomellini,Person,,female,nobiles,-1396
23990,Argenta Lomellini,Person,,female,nobiles,-1439
23995,Argenta Lomellini,Person,,female,nobiles,1451–1489
24017,Barnaba Lomellini,Person,,male,nobiles | illegitimate,-1450
24033,Bartolomeo Lomellini,Person,,male,nobiles,-1495
24038,Bartolomeo Lomellini,Person,,male,nobiles | illegitimate,-1450
24064,Battina Lomellini,Person,,female,nobiles,1550–1558
24066,Battina Lomellini,Person,,female,nobiles,-1443
24103,Benedetto Lomellini,Person,,male,nobiles,-1488
24109,Bernardo Lomellini,Person,,male,nobiles,-1564
24139,Brigida Lomellini,Person,,female,nobiles,-1525
24143,Brigida Lomellini,Person,,female,nobiles,1540–1544
24146,Brigida Lomellini,Person,,female,nobiles,1412–1498
24154,Campiona Lomellini,Person,,female,nobiles,1440–1444
24179,Caterina Lomellini,Person,,female,nobiles,-1495
24192,Caterina Lomellini,Person,,female,nobiles,-1444
24199,Catetta Lomellini,Person,,female,nobiles,1527–1528
24200,Cattaneo Lomellini,Person,,male,nobiles,1330–1354
24201,Cattaneo Lomellini,Person,,male,nobiles,-1467
24202,Cattaneo Lomellini,Person,,male,nobiles,1437–1444
24203,Cattaneo Lomellini,Person,,male,nobiles,-1415
24204,Cattaneo Lomellini,Person,,male,nobiles,1524–1528
24205,Cattaneo Lomellini,Person,,male,nobiles,1602–1639
24216,Chiara Lomellini,Person,,female,nobiles | illegitimate,-1450
24224,Claudia Lomellini,Person,,female,nobiles,–
24288,Elisabetta Lomellini,Person,,female,nobiles,1534–1539
24299,Fabiano Lomellini,Person,,male,nobiles,-1388
24301,Fabiano Lomellini,Person,,male,nobiles,-1460
24325,Franca Lomellini,Person,,female,nobiles,1423–1453
24346,Francesco Lomellini,Person,,male,nobiles,1516–1524
24349,Francesco Lomellini,Person,,male,nobiles,1452–1489
24350,Francesco Lomellini,Person,,male,nobiles,1467–1471
24360,Francisca Lomellini,Person,,female,nobiles,1498–1514
24371,Franco Lomellini,Person,,male,nobiles,1418–1452
24409,Giacomo Lomellini,Person,,male,nobiles,1392–1434
24435,Giannotto Lomellini,Person,,male,nobiles,1438–1475
24439,Ginevra Lomellini,Person,,female,nobiles,-1592
24494,Giovanni Battista Lomellini,Person,,male,nobiles,1498–1527
24500,Giovanni Battista Lomellini,Person,,male,nobiles,1549–1602
24501,Giovanni Battista Lomellini,Person,,male,nobiles,–
24510,Giovanni Francesco Lomellini,Person,,male,nobiles,-1495
24513,Giovanni Francesco Lomellini,Person,,male,nobiles,–
24532,Giovanni Lomellini,Person,,male,nobiles | illegitimate,-1461
24534,Giovanni Lomellini,Person,,male,nobiles,1432–1470
24535,Giovanni Lomellini,Person,,male,nobiles,1452–1453
24554,Girolamo Lomellini,Person,,male,nobiles,1438–1450
24584,Gironima Lomellini,Person,,female,nobiles,1498–1528
24586,Gironima Lomellini,Person,,female,nobiles,1495–1510
24593,Giulia Lomellini,Person,,female,nobiles,-1598
24641,Isabella Lomellini,Person,,female,nobiles,1450–1499
24651,Lazzaro Lomellini,Person,,male,nobiles,1473–1495
24701,Luchino Lomellini,Person,,male,nobiles,-1451
24724,Luigia Lomellini,Person,,female,nobiles,1518–1562
24780,Maria Lomellini,Person,,female,nobiles,1420–1487
24810,Maria Lomellini,Person,,female,nobiles,1532–1539
24816,Maria Lomellini,Person,,female,nobiles,1485–1495
24820,Maria Lomellini,Person,,female,nobiles,1479–1490
24835,Martino Lomellini,Person,,male,nobiles,-1516
24837,Martino Lomellini,Person,,male,nobiles,1410–1421
24842,Matteo Lomellini,Person,,male,nobiles,-1498
24846,Melchiorre Lomellini,Person,,male,nobiles,–
24852,Minetta Lomellini,Person,,female,nobiles,1557–1572
24853,Moisia Lomellini,Person,,female,nobiles,-1312
24864,Napoletano Lomellini,Person,,male,nobiles,1444–1509
24894,Niccolò Lomellini,Person,,male,nobiles,1568–1592
24916,Oberto Lomellini,Person,,male,nobiles,1412–1452
24936,Orietta Lomellini,Person,,female,nobiles,-1495
24940,Orietta Lomellini,Person,,female,nobiles,1498–1506
24952,Ottobone Lomellini,Person,,male,nobiles,1446–1491
24976,Pellegra Lomellini,Person,,female,nobiles,1495–1532
24982,Pellegra Lomellini,Person,,female,nobiles,-1525
24983,Pellegra Lomellini,Person,,female,nobiles,-1472
24984,Pellegra Lomellini,Person,,female,nobiles,-1444
25001,Percivale Lomellini,Person,,male,nobiles,-1460
25047,Raffaele Lomellini,Person,,male,nobiles,-1516
25064,Selvagia Lomellini,Person,,female,nobiles,1350–1383
25102,Sorleone Lomellini,Person,,male,nobiles,–
25104,Sorleone Lomellini,Person,,male,nobiles,1479–1504
25123,Taddeo Lomellini,Person,,male,nobiles,1444–1446
25149,Teramo Lomellini,Person,,male,nobiles,1421–1460
25197,Vassallo Lomellini,Person,,male,nobiles,1450–1476
25203,Vincenzo Lomellini,Person,,male,nobiles | illegitimate,-1568
25330,Susanna de Marini,Person,,female,nobiles,1421–1457
25370,Maria di Negro,Person,,female,nobiles,-1498
25390,Maria Negrone,Person,,female,nobiles,-1443
25470,Benedetto Pinelli,Person,,male,nobiles,1473–1498
25487,Moisia Pinelli,Person,,female,nobiles,1366–1393
25492,Tommaso Pinelli,Person,,male,nobiles,-1408
25637,Cattaneo Spinola,Person,,male,nobiles,-1558
25698,Giovanni Francesco Spinola,Person,,male,nobiles,–
25760,Ottobone Spinola,Person,,male,nobiles,-1413
25765,Paolo Spinola,Person,,male,nobiles,–
25771,Pometta Spinola,Person,,female,nobiles,–
26069,"Tommaso Duracino, filza 1, series I, nr. 109",Venditio,1453-08-13,,,
26082,The house of the brothers Cattaneo and Carlo Lomellini,Property (Real Estate),1453-06-08 | 1453-08-13,,,
26413,"Tommaso Duracino, filza 1, series I, nr. 65",Asecuratio,1453-06-08,,,
26458,"Tommaso Duracino, filza 1, series I, nr. 100",Asecuratio,1453-07-26,,,
27753,Argenta Centurione,Person,,,,-1500
31317,"Cristoforo de Revellino, register 8, 1395, fols. 101v–103v",Procura,1395,,,
36132,"Antonio Pastorino, filza 2, nr. 545",Venditio,1487,,,
