o:id,identifier,o:spouse
25456,003832cd-591f-41ee-b42b-a982e61e8d29,24398
24961,b73f0afb-cc75-4fd1-a163-9a2edd1614b3,23841
25131,35b56b71-4095-45ec-a0ab-240fdec702ab,23568
23974,37b58897-1c03-46f9-9ef9-246e09b8cef2,23818
24839,12b13176-0d70-4fea-8ac9-d142db866871,23048
24418,3d04afc5-cfff-4714-ac72-f99889b1035c,23485
23142,2b24bf29-4bd0-46fa-8f69-ddbb7262ae34,23002
24425,f971d052-775d-441e-8a1d-4123c22e8cc1,25494
30656,f3992d70-6ed6-48b2-8499-92af62415a66,31143
24190,bc92b2be-d096-40ba-b8ee-6e96bef0a6bc,25827
25189,76dc5b66-25d5-4e8d-889d-54c75f9fe3e2,23008
24040,0b5416c1-3ecd-4b5f-9578-423d41ecb2d5,23716
23501,60f9081b-6aaf-4ae9-9ad3-8cfb07cbea23,24839
23609,f37e866a-394e-45b5-b904-6e006caa0896,24104
23891,a8ae7faa-7784-447d-a104-2d463af3ab90,23013
23868,8de135e8-9786-40ed-b638-182c9012f2ec,23323
23133,6db335df-3f6c-4d43-b95b-ae7c96ad318e,24595
24786,8896ddba-292f-45d5-930f-1a9a422e69b5,23732
24989,88155e01-e362-47bd-91be-c69828b2902e,23562
25717,0d666197-b78c-4626-9369-3ed943da7d34,23800
25101,029fd962-b146-4a11-9184-f21a800d8c52,23005
24371,ebe78b8e-2bf0-493a-9a54-ff23e708c52b,25817
24586,4364d55b-99d6-4b5b-a9d7-f1dd97f4cd4c,25628
24409,35590e24-6450-4bcd-ab10-e38d62277bec,23704
24267,3f2039d9-b591-4fec-99ca-801e807d3c03,23483
24864,3709e0bf-b2f6-4ed1-8716-fbd3f4ac0d2c,23660
23957,4d6c078a-b041-401b-82ba-4cd06f85d029,23654
25848,3927b422-e327-48c6-a623-22c328595233,24274
24604,645c8dc0-18bc-4245-9303-6b20940837d3,23460
25064,a4b58e22-93e0-418d-8c2f-ee571d4bf23a,23204
23992,df74adb3-7837-41d7-bebf-e98d36012b0c,24380
24975,a24b279f-dd17-4839-b7af-b4eab4e0268f,23544
25869,7b45aaf2-a186-4ca5-a5ae-cbe41556f94f,40813
24684,b7cffb20-684b-4c62-8c70-4f4e314cc716,25739
24892,353b8a1f-6014-41e4-8b64-352258d49469,23856
23907,64d1de39-0034-40b8-b4fa-e23b50749a27,24679
24074,8428ead4-29e9-4a64-9128-e0f58c165c08,24191
24698,5e208823-daf1-4c24-9eef-8c416bb8b241,24976
23852,e965213c-49e9-4f55-9aef-16cf4736243e,24027
24470,af0193ef-e5de-4922-a1c6-51b1b82ced0d,24932
24588,1e45cc85-b3bd-48ad-8436-7beb2c507c74,23130
25249,308d7858-05c1-41dc-8ec4-ccd49b7e03dd,23962
25292,317196c2-6588-451d-9b0a-3678dd1fa08b,24127
24019,df268090-f9d7-47b0-b8d1-0ac5b00dc383,23925
24807,f0dd0abb-8f99-4fa7-a97c-75dcf5c2f3e4,23679
25157,b642d3b4-1f30-4f3f-8e5b-936cc9def585,23168
24394,16b5b696-647a-472c-91c7-7023dd677e1d,23135
23680,1c73ea1a-46a5-4b93-853b-86061519adeb,24197
24626,1d9ee6d9-3ff6-4097-91e7-3bb10ec6c423,25264
24018,4b3efa15-7d48-4431-bcc3-25ddbbb7ad04,23508
24011,f361464b-873d-4eb1-9f42-66f54dbcbb3c,23036
25160,c521d451-ab9b-4560-b59f-97e45a67b842,23350
23956,c6614569-e046-4b20-86b8-cb7430bfb61c,23000
24349,889bc9bf-233e-42bc-8468-8d06f6386be8,23362
25035,f04128ca-f33d-4c1b-94fb-14bb23a3c8c2,23694
24152,a06a606d-082a-4ff6-b370-b6bcdbdfb35d,23421
23099,ae9e343b-54f8-418d-9ec9-bae0b3396918,23621
23193,b163a22e-1207-4730-aae3-ce1cee7fb75f,23089
23419,ce87fb61-4591-4e61-861d-51aaa0da65a4,23986
24156,c9e9aa7c-2d99-4374-9ee3-74e6067b7c0f,25544
24787,18cfbddf-3826-4ef7-b367-a04e67cc325d,23495
25708,a290f159-4619-4208-82ed-085eac36ddd5,31325
24380,6ea235b1-b1d0-4fb8-992a-42eb337bcac0,23174
23329,a91c926b-a618-4892-a486-a110925c993b,23812
25107,1fe75e5e-4a72-4c92-b0c6-c84d5050877c,25832
24435,3b0f103c-0a17-47a6-aa99-a023c510c1b3,23221
25390,5de5c11d-ecfe-4aa7-97f8-568f23da0319,23232
23480,9f50b534-16fc-4502-b9f3-7ee258d3fe1c,24364
24193,21c3189a-7ea5-45d1-be7b-6cb1de96eb1f,24383
24069,2a3cdd24-26c5-481d-85f6-b367634769c5,23550
24132,d38db898-243b-477b-9615-61f6898b5243,23541
25312,54343ed0-11a3-42c3-83cc-71e2478bae5c,25711
25772,b297d11a-444f-4b6c-9783-7fc2d24645be,38536
25275,0a755ced-7e64-425a-b868-662cb5dd0780,25277
24804,7b1025bf-6d14-42b2-af32-87351cafed0b,25424
24542,f10edddd-52cd-4582-93df-cae58ad2cb4d,25438
23363,a9b9a97b-066c-4f41-a674-524c42e5c8fc,25869
25462,dc82fb86-7c03-4512-89e9-0bb2867ce554,23138
24145,d3f903cf-abbe-4282-959f-941569f55dbf,25080
23389,4d300555-79dc-4b55-84df-fa4cfdcdd2ca,24785
23075,71760824-7560-4f3a-83db-ba5a00c2ce89,25221
23981,6277773f-45f8-48e3-8ccd-8444263a6c9e,23022
24492,4e5aec85-016a-4c68-9d4d-259dd0333dcf,25485
25535,4108d3ff-4cbf-40df-9bf9-0de9ffeab9ae,25280
25532,3e632c3a-3c81-44b3-89c1-0c5d0da82806,23330
24064,902243cf-9780-4d04-8fcc-40478e569ebd,25637
24825,d7f0b9c2-2160-49b5-960e-f22b3654709d,23059
23458,7bc206a8-d124-41f1-b0ad-120d053d548a,23604
23569,9ab3f2f7-2ce4-4391-a910-b52ec71d56ca,25373
25053,928525e5-a798-4ad6-8701-e3f1de7c2332,25278
23712,2a3759cd-6589-49dc-914a-b109c25772b3,37482
24273,4e6b79bc-d87b-4288-a639-143a02dee20a,25740
24669,664be104-4263-44d6-8dbd-4f782f044e88,25492
24130,136d86e1-330a-405e-91a9-ea7305ed7851,25321
24898,5b8c1e3c-2d93-44ad-80e1-c955c91935d9,24064
24285,72222fa4-531e-42ae-b258-d0e1c84f9c21,25269
23364,b2b96b56-fbbe-4f0c-9e6d-7324c9df69df,24913
23097,be7dbb5d-c151-4253-9e9e-2b3a48f7c962,23753
24374,4088b982-a9d1-4ea0-801c-54c64e9639e2,25346
24399,8444dccc-0a5e-4422-94f5-ece4f920a53e,25770
24086,dbfaa35d-504e-4d21-9fbe-95b57dde5b13,24599
38695,6abc65ed-9f88-424d-a7e1-39650334ca14,41271
24289,6415df82-3208-4b32-81c5-e3324dd0ed04,25409
24569,caa7ccc9-fa87-4a2c-be0c-f9c39949ad19,23431
25004,4e6befb0-c8f1-4fc3-bdda-155e0aecf1d3,25283
24927,704cc0a9-2c65-4872-89c6-b992e42ad33a,25289
23910,806a9714-8c3e-4396-a356-9cea0ff9c8fe,24066
24073,8517f0dc-9505-4f1a-a190-1d563b1490ae,23295
23098,6ee16680-2bdf-40b2-9d5a-b0751ea56aa9,23795
25090,af8e380f-9754-40ef-8f8a-ba6eb0c03aa5,23569
25185,75450f9d-4522-4498-bb62-e0e2b83d75dc,25376
24537,8df533e2-1ca5-4f8d-88ab-5dfd96782dd0,23490
23893,a473981c-5b0d-4424-8c37-246b076b5cec,25428
24976,36efda92-18c3-45b3-9a3b-68e9f87b2d16,24698
24022,60b584d8-3c42-40fe-aac9-36744fbb675b,25650
24024,4b2eb749-1405-48b3-b7f3-2fcc56239838,25390
24674,242c7a60-e508-487b-83d6-fa482110cbc6,23071
24738,8dd77db0-bd4c-4b7a-adae-6cf572a35732,25657
23242,6cae7248-fee1-421a-baba-4a0bfd2526f6,24878
24125,376a5562-4174-4067-8d82-4826bb643115,23335
23912,09066f8e-a1b4-42da-95b2-82ccfe3835db,25268
23966,e28ac5a0-dda3-4b7b-a096-9506272846fa,25753
24325,e761730f-60cf-4059-883b-b45b1553551d,23228
25278,0efc2e69-eb99-42ae-b1bc-87673778999a,25053
23873,81e1abae-278f-4c5c-9290-a26d4f9f02ec,23570
24436,d15738f3-4787-41d1-8449-7712fcbf7557,23166
24958,d732c550-0f91-4be6-942d-841fef6d0b32,25337
24782,2a0f688b-17a0-4ab5-a370-c30d0bc085e0,23672
24274,269574ec-063b-46b8-b8a9-74b48274ff06,25639
24266,02b5abfe-cb81-43a9-be1b-c1e12f0d6a00,23819
24308,b804bdf0-1b09-4cf2-86e7-77a718053ed4,23560
24754,4e2784fd-fd9d-4f8a-94c8-bac3bdba1d09,25745
25631,cf22a524-23db-40ce-b3ef-39d183551667,24024
25065,138b4504-2a49-4080-9290-0e1d797fee81,23749
24321,1f6533e3-5f0c-4c57-b5e3-71cd90f07497,24829
26321,210c3e8b-eef1-4af1-b65c-9892b5a3270f,26320
23844,893fc9a2-183f-44c3-8a85-7a6dc107ebcb,24670
