resource_id,tileid,nodegroup,,,,,,,,,,,,,,,,,,,,
--,--,marriage  (n),marriage_number,p107_has_current_or_former_member,,,,,,,,,,,,,,,,,,
003832cd-591f-41ee-b42b-a982e61e8d29,,,,24398,,,,,,,,,,,,,,,,,,
b73f0afb-cc75-4fd1-a163-9a2edd1614b3,,,,23841,,,,,,,,,,,,,,,,,,
35b56b71-4095-45ec-a0ab-240fdec702ab,,,,23568,,,,,,,,,,,,,,,,,,
37b58897-1c03-46f9-9ef9-246e09b8cef2,,,,23818,,,,,,,,,,,,,,,,,,
12b13176-0d70-4fea-8ac9-d142db866871,,,,23048,,,,,,,,,,,,,,,,,,
3d04afc5-cfff-4714-ac72-f99889b1035c,,,,23485,,,,,,,,,,,,,,,,,,
2b24bf29-4bd0-46fa-8f69-ddbb7262ae34,,,,23002,,,,,,,,,,,,,,,,,,
f971d052-775d-441e-8a1d-4123c22e8cc1,,,,25494,,,,,,,,,,,,,,,,,,
f3992d70-6ed6-48b2-8499-92af62415a66,,,,31143,,,,,,,,,,,,,,,,,,
bc92b2be-d096-40ba-b8ee-6e96bef0a6bc,,,,25827,,,,,,,,,,,,,,,,,,
76dc5b66-25d5-4e8d-889d-54c75f9fe3e2,,,,23008,,,,,,,,,,,,,,,,,,
0b5416c1-3ecd-4b5f-9578-423d41ecb2d5,,,,23716,,,,,,,,,,,,,,,,,,
60f9081b-6aaf-4ae9-9ad3-8cfb07cbea23,,,,24839,,,,,,,,,,,,,,,,,,
f37e866a-394e-45b5-b904-6e006caa0896,,,,24104,,,,,,,,,,,,,,,,,,
a8ae7faa-7784-447d-a104-2d463af3ab90,,,,23013,,,,,,,,,,,,,,,,,,
8de135e8-9786-40ed-b638-182c9012f2ec,,,,23323,,,,,,,,,,,,,,,,,,
6db335df-3f6c-4d43-b95b-ae7c96ad318e,,,,24595,,,,,,,,,,,,,,,,,,
8896ddba-292f-45d5-930f-1a9a422e69b5,,,,23732,,,,,,,,,,,,,,,,,,
88155e01-e362-47bd-91be-c69828b2902e,,,,23562,,,,,,,,,,,,,,,,,,
0d666197-b78c-4626-9369-3ed943da7d34,,,,23800,,,,,,,,,,,,,,,,,,
029fd962-b146-4a11-9184-f21a800d8c52,,,,23005,,,,,,,,,,,,,,,,,,
ebe78b8e-2bf0-493a-9a54-ff23e708c52b,,,,25817,,,,,,,,,,,,,,,,,,
4364d55b-99d6-4b5b-a9d7-f1dd97f4cd4c,,,,25628,,,,,,,,,,,,,,,,,,
35590e24-6450-4bcd-ab10-e38d62277bec,,,,23704,,,,,,,,,,,,,,,,,,
3f2039d9-b591-4fec-99ca-801e807d3c03,,,,23483,,,,,,,,,,,,,,,,,,
3709e0bf-b2f6-4ed1-8716-fbd3f4ac0d2c,,,,23660,,,,,,,,,,,,,,,,,,
4d6c078a-b041-401b-82ba-4cd06f85d029,,,,23654,,,,,,,,,,,,,,,,,,
3927b422-e327-48c6-a623-22c328595233,,,,24274,,,,,,,,,,,,,,,,,,
645c8dc0-18bc-4245-9303-6b20940837d3,,,,23460,,,,,,,,,,,,,,,,,,
a4b58e22-93e0-418d-8c2f-ee571d4bf23a,,,,23204,,,,,,,,,,,,,,,,,,
df74adb3-7837-41d7-bebf-e98d36012b0c,,,,24380,,,,,,,,,,,,,,,,,,
a24b279f-dd17-4839-b7af-b4eab4e0268f,,,,23544,,,,,,,,,,,,,,,,,,
7b45aaf2-a186-4ca5-a5ae-cbe41556f94f,,,,40813,,,,,,,,,,,,,,,,,,
b7cffb20-684b-4c62-8c70-4f4e314cc716,,,,25739,,,,,,,,,,,,,,,,,,
353b8a1f-6014-41e4-8b64-352258d49469,,,,23856,,,,,,,,,,,,,,,,,,
64d1de39-0034-40b8-b4fa-e23b50749a27,,,,24679,,,,,,,,,,,,,,,,,,
8428ead4-29e9-4a64-9128-e0f58c165c08,,,,24191,,,,,,,,,,,,,,,,,,
5e208823-daf1-4c24-9eef-8c416bb8b241,,,,24976,,,,,,,,,,,,,,,,,,
e965213c-49e9-4f55-9aef-16cf4736243e,,,,24027,,,,,,,,,,,,,,,,,,
af0193ef-e5de-4922-a1c6-51b1b82ced0d,,,,24932,,,,,,,,,,,,,,,,,,
1e45cc85-b3bd-48ad-8436-7beb2c507c74,,,,23130,,,,,,,,,,,,,,,,,,
308d7858-05c1-41dc-8ec4-ccd49b7e03dd,,,,23962,,,,,,,,,,,,,,,,,,
317196c2-6588-451d-9b0a-3678dd1fa08b,,,,24127,,,,,,,,,,,,,,,,,,
df268090-f9d7-47b0-b8d1-0ac5b00dc383,,,,23925,,,,,,,,,,,,,,,,,,
f0dd0abb-8f99-4fa7-a97c-75dcf5c2f3e4,,,,23679,,,,,,,,,,,,,,,,,,
b642d3b4-1f30-4f3f-8e5b-936cc9def585,,,,23168,,,,,,,,,,,,,,,,,,
16b5b696-647a-472c-91c7-7023dd677e1d,,,,23135,,,,,,,,,,,,,,,,,,
1c73ea1a-46a5-4b93-853b-86061519adeb,,,,24197,,,,,,,,,,,,,,,,,,
1d9ee6d9-3ff6-4097-91e7-3bb10ec6c423,,,,25264,,,,,,,,,,,,,,,,,,
4b3efa15-7d48-4431-bcc3-25ddbbb7ad04,,,,23508,,,,,,,,,,,,,,,,,,
f361464b-873d-4eb1-9f42-66f54dbcbb3c,,,,23036,,,,,,,,,,,,,,,,,,
c521d451-ab9b-4560-b59f-97e45a67b842,,,,23350,,,,,,,,,,,,,,,,,,
