"Delcaration of the baptism of the fugitive Bulgarian slave Maddalena, 20 years old. Note that the first column of the filza was torn from the rest, so there may be a problem in the ordering of my images. Also took an image from 43/I, just in case. Note that the archivist has written on the filza the Latinzed version as ""Amoheas de Cario""",,,,,1488,,,"Delcaration of the baptism of the fugitive Bulgarian slave Maddalena, 20 years old. Note that the first column of the filza was torn from the rest, so there may be a problem in the ordering of my images. Also took an image from 43/I, just in case. Note that the archivist has written on the filza the Latinzed version as ""Amoheas de Cario""",,,,,1488,,,,,,,,,"Andrea de Cairo, filza 43, series II, nr. 9 (formerly nr. 153)",1488-07-04,1488,"Delcaration of the baptism of the fugitive Bulgarian slave Maddalena, 20 years old. Note that the first column of the filza was torn from the rest, so there may be a problem in the ordering of my images. Also took an image from 43/I, just in case. Note that the archivist has written on the filza the Latinzed version as ""Amoheas de Cario""","Cairo, Andrea de",,,Notai antichi 823,,,,,,Franchixia,,,,,,,,,,,,,,,,,,,,,,,,,
"Girolamo Palmario accept the inheritance of Giacomo Palmario, who was freed by their parents (franchixia).",male,,,,1517,,,"Girolamo and Sperindeo Palmario accept the inheritance of a certain Giacomo Palmario, who was freed by their parents (franchixia).",,,,,1517,,,,,,,,,"Cristoforo Rollero, filza 7, item dated 1517-05-14",1517-05-14,1517,"Girolamo and Sperindeo Palmario accept the inheritance of a certain Giacomo Palmario, who was freed by their parents (franchixia).","Rollero, Cristoforo",,,Notai antichi 1214,,,,,,Adicio hereditatis,,,,,,,,,,,,,,,,,,,,,,,,,
"Sperindeo Palmario accept the inheritance of Giacomo Palmario, who was freed by their parents (franchixia).",male,,,,1517,,,"Girolamo and Sperindeo Palmario accept the inheritance of a certain Giacomo Palmario, who was freed by their parents (franchixia).",,,,,1517,,,,,,,,,"Cristoforo Rollero, filza 7, item dated 1517-05-14",1517-05-14,1517,"Girolamo and Sperindeo Palmario accept the inheritance of a certain Giacomo Palmario, who was freed by their parents (franchixia).","Rollero, Cristoforo",,,Notai antichi 1214,,,,,,Adicio hereditatis,,,,,,,,,,,,,,,,,,,,,,,,,
"In order to repay the redemption price, the Greek slave Anna, who is 40 years of age, undertakes to lend her work free of charge for 5 years to Agostino Centurione.",,,,,1498,,,"In order to repay the redemption price, the Greek slave Anna, who is 40 years of age, undertakes to lend her work free of charge for 5 years to Agostino Centurione.",,,,female,1458–1498,,,,,,,,,"Niccolò Raggi, filza 25, nr. 553",1498,1498,"In order to repay the redemption price, the Greek slave Anna, who is 40 years of age, undertakes to lend her work free of charge for 5 years to Agostino Centurione.","Raggi, Niccolò",,,Notai antichi 1037,,,,,,Franchixia,,,,,,,,,,,,,,,,,,,,,,,,,
"Maria da Cipro, a freed slave, pledges 5 lire to the Opsedale dello Scalo (Marchesani & Sperati, 326). Pandetta 26 (at the ASG) states that items for 1450 are in filza 10/II (Notai antichi 657). I will need to determine the correct reference for this document.",female,,,,1450,,,"Maria da Cipro, a freed slave, pledges 5 lire to the Opsedale dello Scalo (Marchesani & Sperati, 326). Pandetta 26 (at the ASG) states that items for 1450 are in filza 10/II (Notai antichi 657). I will need to determine the correct reference for this document.",,,,female,1450,,,,,,,,,"Branca Bagnara, filza 8, nr. 170",1450-06-23,1450,"Maria da Cipro, a freed slave, pledges 5 lire to the Opsedale dello Scalo (Marchesani & Sperati, 326). Pandetta 26 (at the ASG) states that items for 1450 are in filza 10/II (Notai antichi 657). I will need to determine the correct reference for this document.","Bagnara, Branca",,,Notai antichi 655,,,,,,Franchixia,,,,,,,,,,,,,,,,,,,,,,,,,
"Marta Erminia of Caffa, having been freed by the Sindicatori, agrees to serve Isotta Braccelli for 7 years and for 50 lire in order to reimburse Baliano Scotus of the sum advanced for the manumission (locatio post franchixia). The service was reduced to 5 years in case the slave had rented herself as a wet-nurse.",female,,,,1418,,,"A certain Marta Erminia of Caffa, having been freed by the Sindicatori, agrees to serve Isotta Braccelli for 7 years and for 50 lire in order to reimburse Baliano Scotus of the sum advanced for the manumission (locatio post franchixia). The service was reduced to 5 years in case the slave had rented herself as a wet-nurse.",,,,female,–1418,,,,,,,,,"Lorenzo Villa, filza 2, nr. 286",1418-09-05,1418,"A certain Marta Erminia of Caffa, having been freed by the Sindicatori, agrees to serve Isotta Braccelli for 7 years and for 50 lire in order to reimburse Baliano Scotus of the sum advanced for the manumission (locatio post franchixia). The service was reduced to 5 years in case the slave had rented herself as a wet-nurse.","Villa, Lorenzo",,,Notai antichi 488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"On April 23, 1439 Stefano Rebuffo, a silk worker, insured against the risks of childbirth, for 160 lire of Genoa, his 28 year old Tartar slave Caterina, at the fifth month of pregnancy, from Pellegro Sucha. Caterina dies from the consequences of giving birth before the contract expires.",male,,,,1439,,,"On April 23, 1439 Stefano Rebuffo, a silk worker, insured against the risks of childbirth, for 160 lire of Genoa, his 28 year old Tartar slave Caterina, at the fifth month of pregnancy, from Pellegro Sucha. Caterina dies from the consequences of giving birth before the contract expires.",,,,,1439,,,,,,,,,"Branca Bagnara, filza 5, series II, nr. 125",1439-04-23,1439,"On April 23, 1439 Stefano Rebuffo, a silk worker, insured against the risks of childbirth, for 160 lire of Genoa, his 28 year old Tartar slave Caterina, at the fifth month of pregnancy, from Pellegro Sucha. Caterina dies from the consequences of giving birth before the contract expires.","Bagnara, Branca",,,Notai antichi 652,,,,,,Franchixia,,,,,,,,,,,,,,,,,,,,,,,,,
"Referes to a manumission dated 1413-10-02, where Angelo ---",,,,,1415,,,"Referes to a manumission dated 1413-10-02, where a certain Angelo --- frees the Tartaran slave Caterina, who is --- years of age, provided that she continues to serve as a wet nurse. The date is tentaive (soon after June 25).",,,,,1415,,,,,,,,,"Giuliano Canella, register 4, 1414–1415, fol. 262v *",1415-06-30,1415,"Referes to a manumission dated 1413-10-02, where a certain Angelo --- frees the Tartaran slave Caterina, who is --- years of age, provided that she continues to serve as a wet nurse. The date is tentaive (soon after June 25).","Canella, Giuliano",,,Notai antichi 481,,,,,,Franchixia,,,,,,,,,,,,,,,,,,,,,,,,,
Related to the dowry of a freed slave.,,,,,1520,,,Related to the dowry of a freed slave.,,,,,1520,,,,,,,,,"Cristoforo Rollero, filza 7, item dated 1520-06-25",1520-06-25,1520,Related to the dowry of a freed slave.,"Rollero, Cristoforo",,,Notai antichi 1214,,,,,,Franchixia,,,,,,,,,,,,,,,,,,,,,,,,,
"The Albanian slave Maddalena, whose age is not given, is freed ""con sentenza dei Sindacatori""",,,,,1480,,,"The Albanian slave Maddalena, whose age is not given, is freed ""con sentenza dei Sindacatori""",,,,,1480,,,,,,,,,"Girolamo Loggia, filza 2, series I, nr. 265",1480,1480,"The Albanian slave Maddalena, whose age is not given, is freed ""con sentenza dei Sindacatori""","Loggia, Girolamo",,,Notai antichi 1122,,,,,,Franchixia,,,,,,,,,,,,,,,,,,,,,,,,,
