id,family id,parent id,1st last name,2nd last name,first name,middle name,Formalized name,full name,birth_place,occupation,Birth_year,death_year,partner first name,parner 1st last name,partner 2nd last name,partner id,statement,Column1
AD0001,11,,Adorno,,Lorenzo,,Lorenzo  Adorno ,Lorenzo Adorno,,merchants,0,0,,,,,estante in castile,
AD0002,11,AD0009,Adorno,,Luco,Batista,Luco Batista Adorno ,Luca Battista Adorno,,merchants,0,1517,,,,,"Estante in Seville, owns house at Santa María at calle de Bayona",This is Luca Battista Adorno q. Niccolò
AD0003,11,,Adorno,,Bernaldo,,Bernaldo  Adorno ,Bernaldo Adorno,,merchants,0,0,,,,,"partner with Jerónimo Giustiniano y de Francisco Giustiniani, and Juan Baptista de Moneglia. they have a contract to take orchilla to Bruges",This is probably Bernardo Adorno q. Gabriele
AD0004,11,,Adorno,,Niculoso,,Niculoso  Adorno ,Niculoso Adorno,,merchants,0,0,,,,,Estante in castile,
AD0005,11,,Adorno,,Andrea,,Andrea  Adorno ,Andrea de Adorno,,merchants,0,0,,,,,Estante in castile,
AD0006,11,,Adorno,,Esteban,,Esteban  Adorno ,Esteban Adorno,,merchants,0,0,,,,,neighbour jerez,
AD0007,11,,Adorno,,Francisco,,Francisco  Adorno ,Francisco Adorno,,merchants,0,0,,,,,neighbour jerez,
AD0008,11,AD0009,Adorno,,Bartolome,,Bartolome  Adorno ,Bartolome Adorno,,merchants,0,0,,,,,estante seville,
AD0009,11,,Adorno,,,,  Adorno ,,,,0,0,,,,,father of luco y bartolome,
AD0010,11,,Adorno,,Domenego,,Domenego  Adorno ,Domenico Adorno,,merchants,0,1513,Peretina,Giustiniani,,AD0011,neighbour genoa,This is Domenico Adorno q. Gregorio q. Battista
AD0011,11,,Giustiniani,,Peretina,,Peretina  Giustiniani ,Peretina Giustiniani,,,0,0,Domenego,Adorno,,AD0010,neighbour genoa,This is Peretta Giustiniani q. Gabriele
AD0012,11,,Adorno,,Lucrecia,,Lucrecia  Adorno ,Luquesia Adorno,,,0,0,,,,,involve in a double marriage with nicoloso giustiniani,
AD0013,11,,Adorno,,Jacome,,Jacome  Adorno ,Jacome Adorno,,merchants,0,0,,,,,estante jerez,
AD0014,11,,Adorno,,Leonis,,Leonis  Adorno ,Leonis Adorno,,merchants,0,1525,Maria,Ayala,,SP26SP001869,neighbour jerez,
AD0015,11,,Adorno,,Agustin,,Agustin  Adorno ,Agustin Adorno,,public officers,0,0,,,,,"neighbour Jerez collacion Salvador, 24 de Jerez",
AI0001,29,,Aimario,,Bernaldo,,Bernaldo  Aimario ,Bernaldo Aimari,,merchants,0,0,,,,,Estante lends money to the siege of Baza,
AI0002,29,,Aimario,,Bernabé,,Bernabé  Aimario ,Bernabé Aimari,,merchants,0,0,,,,,Estante in castile,
AI0003,29,,Aimario,,Benito,,Benito  Aimario ,Benito Aimari,,merchants,0,0,,,,,Estante in castile,
AI0004,29,AI0005,Aimario,,Juan,Batista,Juan Batista Aimario ,Juan Batista Ymare,,merchants,0,0,,,,,Estante in castile,
AI0005,29,,Aimario,,Francisco,,Francisco  Aimario ,Francisco Ymare,,,0,1501,,,,,father of juan batista,
AN0001,95,AN0002,de Goano,,Francisco,,Francisco  de Goano ,Francisco de Guan,,merchants,0,0,,,,,neighbour genoa,
AN0002,95,,de Goano,,Guildardo,,Guildardo  de Goano ,Guildardo de Guan,,merchants,0,1508,,,,,father of francisco,
AN0003,95,,de Goano,,Peligro,,Peligro  de Goano ,Peligro di Guano,,merchants,0,0,,,,,estante seville,
AN0004,95,,de Goano,,Lope,,Lope  de Goano ,Lope de Guano,,merchants,0,0,,,,,estante Salvatierra,
AP0001,58,,de Ponte,,Lorenzo,,Lorenzo  de Ponte ,Lorenzo de Aponte,,merchants,0,0,,,,,Estante in Cadiz,
AP0002,58,,de Ponte,,Cristóbal,,Cristóbal  de Ponte ,Cristóbal de Aponte,,merchants,0,0,,,,,neighbour seville,
AP0003,58,,de Ponte,,Rafael,,Rafael  de Ponte ,Rafael Aponte,,merchants,0,0,,,,,Estante in castile,
AR0001,60,,de Alba,,Lázaro,,Lázaro  de Alba ,Lázaro de Arba,,merchants,0,0,,,,,"estante in seville, consul de la lonja in 1509",
AR0002,60,,de Alba,,Francisco,,Francisco  de Alba ,Francisco Larca,,merchants,0,1521,,,,,Estante in castile,
AR0003,60,,de Alba,,antonio,,antonio  de Alba ,Antonio Arba,,merchants,0,1508,,,,,"brother of lazaro, dead in niza",
AZ0001,,,de Marini,,Donatyno,,Donatyno  de Marini ,Donatyno de Marini,,merchants,0,0,,,,,estante in Cordoba,
AZ0002,,,Gorricio,,Melchor,,Melchor  Gorricio ,Melchor Gorricio,,merchants,0,0,,,,,"brother of Antonio, named lobardo and his brother genoese",
AZ0003,,,Gorricio,,Francisco,,Francisco  Gorricio ,Francisco Gorricio,,merchants,0,0,,,,,"brother of Francisco, named lobardo and his brother genoese",
AZ0004,,,Rufaldi,,Jerónimo,,Jerónimo  Rufaldi ,Jerónimo Rufaldi,11IT,merchants,0,0,,,,,merchant  named florentine some times,
AZ0005,,,Bochino,,Niculao,,Niculao  Bochino ,Niculao Bocchino,,merchants,0,0,,,,,"estante in Cadiz, venetian part of bartolomeo sopranis circuit with that city",
AZ0006,,,Estella,,Bartolomé,,Bartolomé  Estella ,Bartolomé Estela,08IT,merchants,0,0,,,,,partner with Jacome de Grimaldo,
AZ0007,,,Sanguinetti,,Rafael,,Rafael  Sanguinetti ,Rafael Sanguineti,,merchants,0,0,,,,,"Estante, factor of Esteban centurione",
AZ0008,,,Carminati,,Juan,Jacome,Juan Jacome Carminati ,Juan Jacome de Carminati,,merchants,0,0,,,,,lombard trades in tenerife,
AZ0009,,,Milan,,Bartolomé,,Bartolomé  Milan ,Bartolomé de Milan,,merchants,0,0,,,,,lombard trades in tenerife,
AZ0010,,,Pavona,,Diego,,Diego  Pavona ,Diego de Pavona,,agents,0,0,,,,,procurador of marco castiglione,
AZ0011,,,Estella,,Lorenzo,,Lorenzo  Estella ,Lorenzo Estella,,merchants,0,0,,,,,"said to be Genoese, partner with baquina and de Clavica",
AZ0012,,,Caranella,,Diego,,Diego  Caranella ,Diego Caranella,,merchants,0,0,,,,,neighbour of seville,
AZ0013,,,Herber,,Petrochino,,Petrochino  Herber ,Petrochino de Herber,09IT,merchants,0,0,,,,,partner with Jeronimo de Grimaldo,
AZ0014,,,Gilardin,,Juan,Alberto,Juan Alberto Gilardin ,Juan Alberto Gilardin,,merchants,0,0,,,,,trades in sugar,
AZ0015,,,Bonesene,,Jerónimo,,Jerónimo  Bonesene ,Jerónimo Bonesene,11IT,merchants,0,0,,,,,,
AZ0016,,,Colom,,Tomas,,Tomas  Colom ,Tomas Colom,,merchants,0,0,,,,,,
AZ0017,,,Tafur,,Alonso,,Alonso  Tafur ,Alonso Tafur,,captains,0,0,,,,,"probably from Ancona, captaineighbour the navio de Luis Fernandez",
AZ0018,,,Rosa,,Antonelo,,Antonelo  Rosa ,Antonelo de la Rosa,,merchants,0,0,,,,,estante in Palermo,
AZ0019,,,Corella,,Melchor,,Melchor  Corella ,Melchor Corella,13IT,merchants,0,0,,,,,estante in seville,
AZ0020,,,Fransesquin,,Cristobal,,Cristobal  Fransesquin ,Cristobal Fransesquin,13IT,merchants,0,0,,,,,estante in cadiz,
AZ0021,,,Estella,,Silvestre,,Silvestre  Estella ,Silvestre estrella,,merchants,0,0,,,,,estante seville,
AZ0022,,,Rosa,,Francisco,,Francisco  Rosa ,Francisco Roza,,merchants,0,0,,,,,sicilian,
AZ0023,,,Martinego,Villachiara,Bartolomeo,,Bartolomeo  Martinego Villachiara,Bartolomeo Martinengo di Villachiara,08IT,public officers,0,0,,,,,"gobernor, Bartolomeo III Martinengo di Villagana (Brescia, 1487 – 1558) ",
AZ0024,,,Fantoni,,Jacomo,,Jacomo  Fantoni ,Jacomo Fantoni,,merchants,0,0,,,,,estante medina del campo,
AZ0025,,,Bonese,,Sebastian,,Sebastian  Bonese ,Sebastian Bonese,11IT,merchants,0,0,,,,,estante seville,
AZ0026,,,Abrujats,,Pablo,,Pablo  Abrujats ,PAblo abrujas,11IT,merchants,0,0,,,,,estante seville,
AZ0027,,,Casanova,,Pelegro,,Pelegro  Casanova ,Pelegro Casanova,,merchants,0,0,,,,,Estante Castile,
AZ0028,,,Remodin,,Marcos,,Marcos  Remodin ,Marcos de Remodin,,merchants,0,0,,,,,"Micer, from bologna",
AZ0029,,,Veneri,,Pellegrino,,Pellegrino  Veneri ,Pellegrino Venery,10IT,merchants,0,0,,,,,venetian trader of pepper,
AZ0030,,,Basso,,Antonio,,Antonio  Basso ,Antonio Basso,,merchants,0,0,,,,,"estante in seville, book merchant",
AZ0031,,,Affaittati,,Juan,Francisco,Juan Francisco Affaittati ,Juan Francisco Affaittati,,merchants,0,0,,,,,estante Lisbon,
AZ0032,,,Belogio,,Nicolas,,Nicolas  Belogio ,Nicolas Belogi,,merchants,0,0,,,,,"may be belogi or bellagio, estante ineighbour Toledo",
AZ0033,,,Segnorini,,Francisco,,Francisco  Segnorini ,Francisco Segnorini,11IT,merchants,0,0,,,,,estante in Valencia partner with vidania and burgarini,
AZ0034,,,Burgarini,,Batista,,Batista  Burgarini ,Batista Burgarini,,merchants,0,0,,,,,estante in Valencia partner with vidania and burgarini,
AZ0035,,,Vidania,,Perot,,Perot  Vidania ,Perot Vidania,,merchants,0,0,,,,,estante in Valencia partner with Segnorini and burgarini,
AZ0036,,,Guiso,,Nicolas,,Nicolas  Guiso ,Nicolas Guiso,,merchants,0,0,,,,,estante Seville partner with sauli in leon,
AZ0037,,,Basso,,Alfonso,,Alfonso  Basso ,Alfonso Basso,,merchants,0,0,,,,,neighbour seville collacionsan isidro,
AZ0038,,,Affaittati,,Pablo,,Pablo  Affaittati ,Pablo Affaittati,,merchants,0,0,,,,,"estante in Seville, partner with bonese",
AZ0039,,,Melgosa,,Antonio,,Antonio  Melgosa ,Antonio Melgosa,,merchants,0,0,,,,,estante medina del campo,
AZ0040,,,Melgosa,,Andres,,Andres  Melgosa ,Andres Melgosa,,merchants,0,0,,,,,estante medina del campo,
AZ0041,,,Cornelli,,Batista,,Batista  Cornelli ,Batista Cornelli,,merchants,0,0,,,,,"estante in Villalon lombard,partner with Bassignana",
AZ0042,,,Cornelli,,Nicolao,,Nicolao  Cornelli ,Nicolao Cornelli,,merchants,0,0,,,,,"estante in Villalon lombard,partner with Bassignana",
AZ0043,,,Cornelli,,Silvestre,,Silvestre  Cornelli ,Silvestre Cornelli,,merchants,0,0,,,,,"estante in Villalon lombard,partner with Bassignana",
