o:id,name,family,source-name(s),patrilineage,o:loconym,edoa,ldoa,o:gender,o:occuptn,o:nationality,o:spouse,o:parent,o:children,identifier,url,note
26358,— Cavatia,Cavatia,Cavacius,,,,,44818,,,26357,26356,,e701793b-640d-4c70-9681-484ce235c2a9,http://www.genoesemerchantnetworks.com/s/main/item/26358,
26464,— de Balestrino,de Balestrino,,,,1411,1436,,27518,,,,,2bd6478f-eaa2-4736-bcd4-da81f35c2456,http://www.genoesemerchantnetworks.com/s/main/item/26464,
23315,— de Crivellis,de Crivellis,— Crivelli della Spezia,,,,,44818,,44413,24410,,24588 | 24477,922e0f97-6693-4dfe-8ebc-7a0f520c69e2,http://www.genoesemerchantnetworks.com/s/main/item/23315,
39831,— de Marini,de Marini,,,,1428,1453,,,,,,,a45f4938-4648-4861-894b-bd120a910629,http://www.genoesemerchantnetworks.com/s/main/item/39831,
25508,— de Recco,de Recco,,,27623,,,44817,,,23870,,,db59ec91-afc7-4276-8efc-138bcea1a795,http://www.genoesemerchantnetworks.com/s/main/item/25508,
38662,— de Semino,de Semino,,,,1429,1454,,,,,,,1bd30ba5-e3f1-4277-b550-a71fa2abe717,http://www.genoesemerchantnetworks.com/s/main/item/38662,
23473,— Fieschi,Fieschi,,—Fieschi q. Daniele,,,1480,44818,,,24236,23468,,5f66e761-0641-464f-bd2a-582b557b6749,http://www.genoesemerchantnetworks.com/s/main/item/23473,
23868,— Lomellini,Lomellini,,— Lomellini q. Tobia,,1522,1553,44818,,,23323 | 23081,25156,,8de135e8-9786-40ed-b638-182c9012f2ec,http://www.genoesemerchantnetworks.com/s/main/item/23868,
29917,Abraino de Lecho,de Lecho,Abrayno de Lecho civi Ianue filio Thome | Abrae de Lecho civi Ianue,,,1432,1460,,,31356,,40562,,19990d26-0b2f-4dde-b903-d03adaf14ce1,http://www.genoesemerchantnetworks.com/s/main/item/29917,
41093,Abraino de Parma,de Parma,de Parma... Abrae | Abrayno de Parma,,26240,,,44817,,,,,26238,4af90bde-f18c-431d-bc25-f7fe6b1900bd,http://www.genoesemerchantnetworks.com/s/main/item/41093,
23869,Abraino Lomellini,Lomellini,Abramo Lomellino,Abraino Lomellini q. Simone q. Pietrino,,,1352,44817,,,,25084 | 23051,24012 | 24170 | 24188 | 24960 | 25068 | 25083,bb9e8b78-bfd8-49b1-8efb-90b04cfe9867,http://www.genoesemerchantnetworks.com/s/main/item/23869,
44107,Abram Salsat,Salsat,rabi Abram Salsat habaeschera ebreum,,,1407,1432,44817,44106,43340,,,,027753c7-6209-4f4d-a875-3f74cfbc8dd3,http://www.genoesemerchantnetworks.com/s/main/item/44107,
42468,Abramo de Campis,de Campis,de Campis... Abrae,,,,,44817,,,,,30213,4a834801-8bcd-44fc-add7-88943f423af9,http://www.genoesemerchantnetworks.com/s/main/item/42468,
26162,Abramo de Turrilia,de Turrilia,Abrami de Turrilia quondam Antonii civi... Ianue | Abram quondam Antonii,Abramo de Turrilia q. Antonio,26163,1428,1454,44817,,31356,,26165,,17a1050d-d082-48cd-ac55-50314294637d,http://www.genoesemerchantnetworks.com/s/main/item/26162,"ASCGe, Manoscritti 56, fol. 338: ""Abram quondam Antonii in atti di Giovanni de Luco 1452."""
23518,Abramo Garibaldo,Garibaldo,Abramo Garibaldi,Abramo Garibaldo q. Beda q. Lorenzo,,1511,1513,44817,,,24019,23519,23520,0869a800-07e2-42ea-a7cd-8d3d26e47028,http://www.genoesemerchantnetworks.com/s/main/item/23518,"ASCGe, Manoscritti 26, fol. 478: ""1511 Abram quondam Bede sua moglie Bartolomea Lomellina quondam Carlo quondam Cattaneo sua figlia Sibronetta moglie di Francesco Lomellino quondam Giacomo… 1532 sua Sepultura al Guastato 1513."""
44632,Accellino Cicala,Cicala,Acellino Cicala quondam Marzocco,Accellino Cicala q. Marzocco,,1393-09-01,1447-01-01,44817,,,,44633,,abd73b5e-3ccd-462c-885c-2b18d082502a,http://www.genoesemerchantnetworks.com/s/main/item/44632,"ASCGe, Manoscritti 18, fol. 173r: ""1423 Matteo, e Accellino furono fidecommissarii di Guirardo Federico… 1447 detto Accellino era padrone di una nave, e a lui scirsse il Duce."""
40952,Accellino de Aucello,de Aucello,de Aucello... Acelini,,,,,44817,,,,,40950,13637a95-3ade-4769-8dd8-2503f18a5ad8,http://www.genoesemerchantnetworks.com/s/main/item/40952,
37124,Accellino Gentile,Gentile,,,,1410,1435,44817,,,,,,d7ea03c8-ca4e-4580-941a-7cb3759f33e9,http://www.genoesemerchantnetworks.com/s/main/item/37124,
44109,Accellino Grillo,Grillo,Grillo... Acellino,,,1372,1405,44817,,,,,26800,ec501e17-5c67-4b26-8de1-682f6da450a6,http://www.genoesemerchantnetworks.com/s/main/item/44109,"ASCGe, Manoscritti 54, fol. 107v: ""Acelino in compra 1394… anziano 1397… consigliero 1398… maestrale 1405… in libro d’Antonio Credenza c. 162 terzo bon vir 1404."""
23823,Accellino Lercari,Lercari,Accelino Lercaro | Accellino Lercari... figli[o] di Geronimo,Accellino Lercari q. Girolamo q. Idetto,,1437,1463,44817,,,24764,23840,23847,eaeeda24-ab84-495d-bb3d-a7d5d8ed1306,http://www.genoesemerchantnetworks.com/s/main/item/23823,"ASGe, Indice famiglie IX, fol. 163_0: ""Lercaro Ideto quondam Acellino, nomina Marietta sua moglie figlia del quondam Raffaele Vivaldo, Bartolomea sua figlia inutta, Baldassare e Accellino Lercari suoi nipoti figli di Geronimo suo figlio; eredi detto Geronimo e Melchione suoi figli 1437, 1 giugno, in detto Branca Bagnara foglio 1437 nr. 215."""
