Start date,End date,Name,Number,Note
* 14100429,14120430,Ianotus de Carmo draperius,1,
* 14100429,14120430,Elianus de la Castanea,2,
* 14100429,14120430,Benedictus de Marinis,3,
* 14100429,14120430,Dominicus Imperialis legum doctor,4,
* 14100429,14120430,Raffael Iustinianus de Monelia,5,
* 14100429,14120430,Baptista Salvaigus,6,
* 14100429,14120430,Nicolaus Sauli,8,
* 14100429,14120430,Gabriel Spinula de Sancto Luca,7,
,, ,,
14120501,14130430,Stephanus legum doctor Cattaneus,1,
14120501,14130430,Clemens Ansaldi de Auria,2,
14120501,14130430,Cattaneus de Marinis,3,
14120501,14130430,Clemens de Prementorio,4,
14120501,14130430,Inoflius notarius de Putheo,5,
14120501,14130430,Bartholomeus de Ricobono,6,
14120501,14130430,Iohannes Branchaleonis Grillus,7,
14120501,* 14120804,Paulus de Montaldo,8,
* 14120825,14130430,Ieronimus Oberti Iustinianus,"8,1",S
,, ,,
14130501,* 14131107,Georgius Cigalla,1,
14130501,* 14140319,Petrus q. magistri Antonii de Franchis olim Iulla,2,
14130501,14151231,Masimus notarius de Iudicibus,3,
14130501,14151231,Cattaneus de Vivaldis,4,
14130501,* 14140319,Raffael Iudex,5,
14130501,14151231,Iacobus q. Antonii Iustinianus,6,
14130501,14151231,Manfredus Salvaigus,7,
14130501,14151231,Lucianus Cipriani Spinula,8,
* 14131205,14151231,Baptistus legum doctor Cigalla,"1,1",S
* 14140511,* 14140727,Bartholomeus Porchus,"5,1",S
* 14140907,14151231,Christoforus Iudex,"5,2",S
,, ,,
14160101,14170430,Iacobus Andrioli de Auria,1,
14160101,14170430,Bartholomeus de Campofregoso olim Porchus,2,
14160101,14170430,Fredericus de Prementorio,3,
14160101,14170430,Inofius / Inoflius de Vignolo,4,
14160101,14170430,Dominicus Lercarius,5,
14160101,14170430,Antonius Lomelinus,6,
14160101,14170430,Andreas Maruffus,7,
14160101,14170430,Raffael Squarzaficus,8,
,, ,,
14170501,14190430,Dominicus de Fossatello,1,
14170501,* 14190221,Petrus de Furnariis,2,
14170501,14190430,Georgius de Marinis,3,
14170501,* 14170916,Bartholomeus de Ricobono,4,
14170501,14190430,Iohannes Branchaleonis Grillus,5,
14170501,14190430,Ieronimus Iustinianus de Monelia,6,
14170501,14190430,Ianotus q. Manuelis Lomelinus,7,
14170501,14190430,Lucianus Cipriani Spinula de Sancto Luca,8,
14190404,14190430,Guiraldus de Furnariis,"2,1",S
* 14171218,* 14181213,Franciscus de Romeo,"4,1",S
* 14190124,14190430,Inofius de Vignollo,"4,2",S
,, ,,
14190501,14210731,Dominicus de Fossatello,1,
14190501,14210731,Iohannes q. Raffaelis de Franchis Luxardus,2,
14190501,* 14200213,Ansaldus de Grimaldis,3,
14190501,14210731,Thomas de Iudicibus ( Iudex),4,
14190501,14210731,Antonius de Viviano,5,
14190501,? 14200116,Thomas Italianus,6,
14190501,14210731,Mattheus Lomelinus,7,
14190501,* 14210717,Lucianus Spinula,8,
* 14200501,14210731,Rabella de Grimaldis,"3,1",S
* 14200213,14210731,Ambrosius Grillus,"6,1",S
* 14210724,14210731,Benedictus de Nigrono,"8,1",S
,, ,,
14210801,14220731,Baptistus legum doctor Cigalla,1,
