Accarino, ,, ,, ,,Accarino   ,,Alexandria
Accornerio, ,, ,, ,,Accornerio   ,,
Adorno, ,,,, ,,Adorno  ,,
Adret, ,, ,, ,,Adret   ,,
Aicardo, ,, ,, ,,Aicardo   ,,
Aimario, ,, ,, ,,Aimario   ,,
Albiac, ,, ,, ,,Albiac   ,,
Alessio, ,, ,, ,,Alessio   ,,
Aliberto, ,, ,, ,,Aliberto   ,,
Aliprando, ,, ,, ,,Aliprando   ,,
Altovito, ,, ,, ,,Altovito   ,,
Ameto, ,, ,, ,,Ameto   ,,
Amicone, ,, ,, ,,Amicone   ,,
Anfosso, ,,,, ,,Anfosso  ,,
Aragno, ,, ,, ,,Aragno   ,,
Arangio, ,, ,, ,,Arangio   ,,
Arbicone, ,, ,, ,,Arbicone   ,,
Ardimento, ,, ,, ,,Ardimento   ,,
Ardissone, ,, ,, ,,Ardissone   ,,
Arena, ,, ,, ,,Arena   ,,
Arrigone, ,, ,, ,,Arrigone   ,,
Asoharda, ,, ,, ,,Asoharda   ,,
Aspirano, ,, ,, ,,Aspirano   ,,
Assereto, ,,,, ,,Assereto  ,,
Asserio, ,, ,, ,,Asserio   ,,
Aucreto, ,, ,, ,,Aucreto   ,,
Aurego, ,, ,, ,,Aurego   ,,
Avondo, ,, ,, ,,Avondo   ,,
Axinela, ,, ,, ,,Axinela   ,,
Baciadonne, ,, ,, ,,Baciadonne   ,,
Bacigalupo, ,,,, ,,Bacigalupo  ,,
Bacigalupo, ,, ,, ,,Bacigalupo   ,,
Bacosterio, ,, ,, ,,Bacosterio   ,,
Badano, ,, ,, ,,Badano   ,,
Badinella, ,, ,, ,,Badinella   ,,
Bagnara, ,, ,, ,,Bagnara   ,,
Baiemo, ,, ,, ,,Baiemo   ,,
Balbo, ,, ,, ,,Balbo   ,,
Banca, ,, ,, ,,Banca   ,,
Banchero, ,, ,, ,,Banchero   ,,
Banchero, ,, ,, ,,Banchero   ,,
Bandino, ,, ,, ,,Bandino   ,,
Barabino, ,, ,, ,,Barabino   ,,
Barbagelata, ,, ,, ,,Barbagelata   ,,
Barbaro, ,, ,, ,,Barbaro   ,,
Barbavaria, ,, ,, ,,Barbavaria   ,,
Barissone, ,, ,, ,,Barissone   ,,
Barnello, ,, ,, ,,Barnello   ,,
Baroncio, ,, ,, ,,Baroncio   ,,
Basadonna, ,, ,, ,,Basadonna   ,,
Basso, ,, ,, ,,Basso   ,,
Battalia, ,, ,, ,,Battalia   ,,
Bava, ,, ,, ,,Bava   ,,
Bavastrello, ,, ,, ,,Bavastrello   ,,
Bazurro, ,, ,, ,,Bazurro   ,,
Becchignone, ,, ,, ,,Becchignone   ,,
Beffignano, ,, ,, ,,Beffignano   ,,
Begazio, ,, ,, ,,Begazio   ,,
Belengerio, ,, ,, ,,Belengerio   ,,
Belforte, ,, ,, ,,Belforte   ,,
Belgodere, ,, ,, ,,Belgodere   ,,
Belinzo, ,, ,, ,,Belinzo   ,,
Beltrame, ,, ,, ,,Beltrame   ,,
Belviso, ,, ,, ,,Belviso   ,,
Bencio, ,, ,, ,,Bencio   ,,
Benegassio, ,, ,, ,,Benegassio   ,,
Beorcio, ,, ,, ,,Beorcio   ,,
Bercaneca, ,, ,, ,,Bercaneca   ,,
Berchoano, ,, ,, ,,Berchoano   ,,
Bergoncio, ,, ,, ,,Bergoncio   ,,
Berlenda, ,, ,, ,,Berlenda   ,,
Bernabò, ,, ,, ,,Bernabò   ,,
Bernisone, ,, ,, ,,Bernisone   ,,
Berrino, ,, ,, ,,Berrino   ,,
Bertolotto, ,, ,, ,,Bertolotto   ,,
Bertonasso, ,, ,, ,,Bertonasso   ,,
Bertorino, ,, ,, ,,Bertorino   ,,
Beso, ,, ,, ,,Beso   ,,
Biancardo, ,, ,, ,,Biancardo   ,,
Bibia, ,,,, ,,Bibia  ,,
Bico, ,, ,, ,,Bico   ,,
Bigna, ,, ,, ,,Bigna   ,,
Bignono, ,, ,, ,,Bignono   ,,
Bione, ,, ,, ,,Bione   ,,
Bisaccia, ,, ,, ,,Bisaccia   ,,
Bocca, ,, ,, ,,Bocca   ,,
Boccaccio, ,, ,, ,,Boccaccio   ,,
Boccafò, ,, ,, ,,Boccafò   ,,
Boccalecca, ,, ,, ,,Boccalecca   ,,
Boccanegra, ,, ,, ,,Boccanegra   ,,
Boccone, ,, ,, ,,Boccone   ,,
Bochino, ,, ,, ,,Bochino   ,,
Boecio, ,, ,, ,,Boecio   ,,
Bogatto, ,, ,, ,,Bogatto   ,,
Bogia, ,, ,, ,,Bogia   ,,
Bogiolo, ,, ,, ,,Bogiolo   ,,
Boiardo, ,, ,, ,,Boiardo   ,,
Boide, ,, ,, ,,Boide   ,,
Boiolo, ,, ,, ,,Boiolo   ,,
Boirado, ,, ,, ,,Boirado   ,,
Bolano, ,, ,, ,,Bolano   ,,
Bonaspina, ,, ,, ,,Bonaspina   ,,
Bonaventura, ,, ,, ,,Bonaventura   ,,
Bonconte, ,, ,, ,,Bonconte   ,,
Bondenario, ,, ,, ,,Bondenario   ,,
Boneto, ,, ,, ,,Boneto   ,,
Bonfilio, ,, ,, ,,Bonfilio   ,,
Bonicane, ,, ,, ,,Bonicane   ,,
Bonivento, ,, ,, ,,Bonivento   ,,
Bono, ,, ,, ,,Bono   ,,
Bonsostegno, ,, ,, ,,Bonsostegno   ,,
Bonvino, ,, ,, ,,Bonvino   ,,
Bordino, ,, ,, ,,Bordino   ,,
Borello, ,, ,, ,,Borello   ,,
Borgarello, ,, ,, ,,Borgarello   ,,
Borromeo, ,, ,, ,,Borromeo   ,,
Borsotto, ,, ,, ,,Borsotto   ,,
Bosio, ,, ,, ,,Bosio   ,,
Bosono, ,, ,, ,,Bosono   ,,
Botto, ,,,, ,,Botto  ,,
Boverio, ,, ,, ,,Boverio   ,,
Boveto, ,, ,, ,,Boveto   ,,
Bozano, ,, ,, ,,Bozano   ,,
Bracelli, ,, ,, ,,Bracelli   ,,
Brando, ,, ,, ,,Brando   ,,
Bregadano, ,, ,, ,,Bregadano   ,,
Bresano, ,, ,, ,,Bresano   ,,
Brignole, ,,,, ,,Brignole  ,,
Bruna, ,, ,, ,,Bruna   ,,
Brusaca, ,, ,, ,,Brusaca   ,,
Bulla, ,, ,, ,,Bulla   ,,
Burgaro, ,, ,, ,,Burgaro   ,,
Burgensio, ,, ,, ,,Burgensio   ,,
Burnengo, ,, ,, ,,Burnengo   ,,
Burone, ,, ,, ,,Burone   ,,
Buscaino, ,, ,, ,,Buscaino   ,,
Bustarino, ,, ,, ,,Bustarino   ,,
Buzalino, ,, ,, ,,Buzalino   ,,
Cacia, ,, ,, ,,Cacia   ,,
Cademartoro, ,, ,, ,,Cademartoro   ,,
Caffarello, ,, ,, ,,Caffarello   ,,
Caffarena, ,, ,, ,,Caffarena   ,,
Caffarena, ,, ,, ,,Caffarena   ,,
Caffarotto, ,, ,, ,,Caffarotto   ,,
Caffarotto, ,, ,, ,,Caffarotto   ,,
Caffarotto, ,, ,, ,,Caffarotto   ,,
Cagnisar, ,, ,, ,,Cagnisar   ,,
Calcine, ,, ,, ,,Calcine   ,,
Caldera, ,, ,, ,,Caldera   ,,
Calerio, ,, ,, ,,Calerio   ,,
Calissano, ,, ,, ,,Calissano   ,,
Calvaro, ,, ,, ,,Calvaro   ,,
Calvo, ,,,, ,,Calvo  ,,
Camilla, ,, ,, ,,Camilla   ,,
Campanario, ,, ,, ,,Campanario   ,,
Campofregoso, ,,,, ,,Campofregoso  ,,
Camponaro, ,, ,, ,,Camponaro   ,,
Cancellerio, ,, ,, ,,Cancellerio   ,,
Canella, ,, ,, ,,Canella   ,,
Caneva, ,, ,, ,,Caneva   ,,
Cantalupo, ,, ,, ,,Cantalupo   ,,
Cantello, ,, ,, ,,Cantello   ,,
Capareggia, ,, ,, ,,Capareggia   ,,
Cape, ,, ,, ,,Cape   ,,
Capello, ,, ,, ,,Capello   ,,
Capsicio, ,, ,, ,,Capsicio   ,,
Capurro, ,, ,, ,,Capurro   ,,
Carbone, ,, ,, ,,Carbone   ,,
Cardeluxis, ,, ,, ,,Cardeluxis   ,,
Cardinale, ,, ,, ,,Cardinale   ,,
Carena, ,, ,, ,,Carena   ,,
Carezza, ,, ,, ,,Carezza   ,,
Cariotta, ,, ,, ,,Cariotta   ,,
Carleto, ,, ,, ,,Carleto   ,,
Carlevario, ,, ,, ,,Carlevario   ,,
Carlevarotto, ,, ,, ,,Carlevarotto   ,,
Carnio, ,, ,, ,,Carnio   ,,
Carpenino, ,, ,, ,,Carpenino   ,,
Carrega,,, ,, ,,Carrega  ,,
Cartagenia, ,, ,, ,,Cartagenia   ,,
Casaldayguila, ,, ,, ,,Casaldayguila   ,,
Casandra, ,, ,, ,,Casandra   ,,
Casaneria, ,, ,, ,,Casaneria   ,,
Casanova, ,, ,, ,,Casanova   ,,
Casella, ,, ,, ,,Casella   ,,
Cassana, ,, ,, ,,Cassana   ,,
Cassiccio, ,, ,, ,,Cassiccio   ,,
Castagna, ,, ,, ,,Castagna   ,,
Castagnola, ,, ,, ,,Castagnola   ,,
Castrovetere, ,, ,, ,,Castrovetere   ,,
Catrinello, ,, ,, ,,Catrinello   ,,
Cattaidolo, ,, ,, ,,Cattaidolo   ,,
Cattaneo, ,,,, ,,Cattaneo  ,,
Cavacia, ,, ,, ,,Cavacia   ,,
Cavallo, ,, ,, ,,Cavallo   ,,
Cavalorto, ,, ,, ,,Cavalorto   ,,
Cavassa, ,, ,, ,,Cavassa   ,,
Cavatia, ,,,, ,,Cavatia  ,,
Cazolino, ,, ,, ,,Cazolino   ,,
Cebà, ,, ,, ,,Cebà   ,,
Celesia, ,, ,, ,,Celesia   ,,
Centurione, ,,,, ,,Centurione  ,,
Cerrino, ,, ,, ,,Cerrino   ,,
Cessaburges, ,, ,, ,,Cessaburges   ,,
Chaveslo, ,, ,, ,,Chaveslo   ,,
Chiapparotta, ,, ,, ,,Chiapparotta   ,,
Chiappella, ,, ,, ,,Chiappella   ,,
Chiarella, ,, ,, ,,Chiarella   ,,
Cibo, ,,,, ,,Cibo  ,,
Cicala, ,,,, ,,Cicala  ,,
Cicero, ,, ,, ,,Cicero   ,,
Cicogna, ,, ,, ,,Cicogna   ,,
Cimamarino, ,, ,, ,,Cimamarino   ,,
Clavaricia, ,, ,, ,,Clavaricia   ,,
Clavezana, ,, ,, ,,Clavezana   ,,
Coccio, ,, ,, ,,Coccio   ,,
Coda, ,, ,, ,,Coda   ,,
Collo, ,, ,, ,,Collo   ,,
Comberceto, ,, ,, ,,Comberceto   ,,
Comunale, ,, ,, ,,Comunale   ,,
Contarino, ,, ,, ,,Contarino   ,,
Conte, ,, ,, ,,Conte   ,,
Copula, ,, ,, ,,Copula   ,,
Coretto, ,, ,, ,,Coretto   ,,
Corsanego, ,, ,, ,,Corsanego   ,,
Corsario, ,, ,, ,,Corsario   ,,
Corso, ,, ,, ,,Corso   ,,
Corte, ,, ,, ,,Corte   ,,
Cortesio, ,, ,, ,,Cortesio   ,,
Corvo, ,, ,, ,,Corvo   ,,
Cosio, ,, ,, ,,Cosio   ,,
Costa, ,,,, ,,Costa  ,,
Crescia, ,, ,, ,,Crescia   ,,
Crespo, ,, ,, ,,Crespo   ,,
Crispiano, ,, ,, ,,Crispiano   ,,
Crispo, ,, ,, ,,Crispo   ,,
Crosa, ,, ,, ,,Crosa   ,,
Curleto, ,, ,, ,,Curleto   ,,
Dala, ,, ,, ,,Dala   ,,
Dalman, ,, ,, ,,Dalman   ,,
Dalmatio, ,, ,, ,,Dalmatio   ,,
Damiardo, ,, ,, ,,Damiardo   ,,
Dancema, ,, ,, ,,Dancema   ,,
Dando, ,, ,, ,,Dando   ,,
de, ,Abbatibus, ,, ,,de Abbatibus  ,,
de, ,Accurso, ,, ,,de Accurso  ,,
de, ,Acqua, ,, ,,de Acqua  ,,
de, ,Acquafrigida, ,, ,,de Acquafrigida  ,,
de, ,Agnola, ,, ,,de Agnola  ,,
de, ,Airolo, ,, ,,de Airolo  ,,
de, ,Albareto, ,, ,,de Albareto  ,,
de, ,Albario,,, ,,de Albario ,,
de, ,Albertis, ,, ,,de Albertis  ,,
de, ,Albingana, ,, ,,de Albingana  ,,
de, ,Albizzi, ,, ,,de Albizzi  ,,
de, ,Albulis, ,, ,,de Albulis  ,,
de, ,Alexandria, ,, ,,de Alexandria  ,,
de, ,Alferiis, ,, ,,de Alferiis  ,,
de, ,Algario, ,, ,,de Algario  ,,
de, ,Alla, ,, ,,de Alla  ,,
de, ,Allegro, ,, ,,de Allegro  ,,
de, ,Almano, ,, ,,de Almano  ,,
de, ,Alsario, ,, ,,de Alsario  ,,
de, ,Altare, ,, ,,de Altare  ,,
de, ,Alzate, ,, ,,de Alzate  ,,
de, ,Amandola, ,, ,,de Amandola  ,,
de, ,Amatis, ,, ,,de Amatis  ,,
de, ,Amico, ,, ,,de Amico  ,,
de, ,Amido, ,, ,,de Amido  ,,
de, ,Amore, ,, ,,de Amore  ,,
de, ,Ancisa, ,, ,,de Ancisa  ,,
de, ,Ancona, ,, ,,de Ancona  ,,
de, ,Andoia, ,, ,,de Andoia  ,,
de, ,Andoria, ,, ,,de Andoria  ,,
de, ,Andrea, ,, ,,de Andrea  ,,
de, ,Angelo, ,, ,,de Angelo  ,,
de, ,Anglis, ,, ,,de Anglis  ,,
de, ,Appiano, ,, ,,de Appiano  ,,
de, ,Arata, ,, ,,de Arata  ,,
de, ,Argiroffo, ,, ,,de Argiroffo  ,,
de, ,Aricia, ,, ,,de Aricia  ,,
de, ,Arivolta, ,, ,,de Arivolta  ,,
de, ,Arnoldis, ,, ,,de Arnoldis  ,,
de, ,Artago, ,, ,,de Artago  ,,
de, ,Arzile, ,, ,,de Arzile  ,,
de, ,Asario, ,, ,,de Asario  ,,
de, ,Ascendis, ,, ,,de Ascendis  ,,
de, ,Aschoeta, ,, ,,de Aschoeta  ,,
de, ,Assalto, ,, ,,de Assalto  ,,
de, ,Astis, ,, ,,de Astis  ,,
de, ,Astue, ,, ,,de Astue  ,,
de, ,Aucello, ,, ,,de Aucello  ,,
de, ,Augustana, ,, ,,de Augustana  ,,
de, ,Aurigo, ,, ,,de Aurigo  ,,
de, ,Avancino, ,, ,,de Avancino  ,,
de, ,Averaria, ,, ,,de Averaria  ,,
de, ,Balestrino, ,, ,,de Balestrino  ,,
de, ,Baliano, ,, ,,de Baliano  ,,
de, ,Barbavaria, ,, ,,de Barbavaria  ,,
de, ,Bardis, ,, ,,de Bardis  ,,
de, ,Bargalio, ,, ,,de Bargalio  ,,
de, ,Bargono, ,, ,,de Bargono  ,,
de, ,Bartolomeo, ,, ,,de Bartolomeo  ,,
de, ,Bassignana, ,, ,,de Bassignana  ,,
de, ,Basulto, ,, ,,de Basulto  ,,
de, ,Battizato, ,, ,,de Battizato  ,,
de, ,Bavalo, ,, ,,de Bavalo  ,,
de, ,Beato, ,, ,,de Beato  ,,
de, ,Becallo, ,, ,,de Becallo  ,,
de, ,Bederio, ,, ,,de Bederio  ,,
de, ,Belignano, ,, ,,de Belignano  ,,
de, ,Belleciono, ,, ,,de Belleciono  ,,
de, ,Belprato, ,, ,,de Belprato  ,,
de, ,Ben, ,, ,,de Ben  ,,
de, ,Benamà, ,, ,,de Benamà  ,,
de, ,Benedictis, ,, ,,de Benedictis  ,,
de, ,Benigassio, ,, ,,de Benigassio  ,,
de, ,Benisia, ,, ,,de Benisia  ,,
de, ,Bennato, ,, ,,de Bennato  ,,
de, ,Berardis, ,, ,,de Berardis  ,,
de, ,Bergalio, ,, ,,de Bergalio  ,,
de, ,Bergamo, ,, ,,de Bergamo  ,,
de, ,Bernardis, ,, ,,de Bernardis  ,,
de, ,Bertramino, ,, ,,de Bertramino  ,,
de, ,Bessignano, ,, ,,de Bessignano  ,,
de, ,Bessignano, ,, ,,de Bessignano  ,,
de, ,Bilbao, ,, ,,de Bilbao  ,,
de, ,Bisanne, ,, ,,de Bisanne  ,,
de, ,Blanchis,,, ,,de Blanchis ,,
de, ,Blaxia, ,, ,,de Blaxia  ,,
de, ,Bobbio,,, ,,de Bobbio ,,
de, ,Boianis, ,, ,,de Boianis  ,,
de, ,Bonavei, ,, ,,de Bonavei  ,,
de, ,Bonavia, ,, ,,de Bonavia  ,,
de, ,Bonifacio,,, ,,de Bonifacio ,,
de, ,Bonis, ,, ,,de Bonis  ,,
de, ,Bonizo, ,, ,,de Bonizo  ,,
de, ,Borlasca, ,, ,,de Borlasca  ,,
de, ,Bosco, ,, ,,de Bosco  ,,
de, ,Boscolis, ,, ,,de Boscolis  ,,
de, ,Bousquet, ,, ,,de Bousquet  ,,
de, ,Bozzolo, ,, ,,de Bozzolo  ,,
de, ,Brelia, ,, ,,de Brelia  ,,
de, ,Brevei,,, ,,de Brevei ,,
de, ,Bruges, ,, ,,de Bruges  ,,
de, ,Burgo,,, ,,de Burgo ,,
de, ,Buzalla, ,, ,,de Buzalla  ,,
de, ,Byach, ,, ,,de Byach  ,,
de, ,Cabella,,, ,,de Cabella ,,
de, ,Cadano, ,, ,,de Cadano  ,,
de, ,Cairo, ,, ,,de Cairo  ,,
de, ,Caito, ,, ,,de Caito  ,,
de, ,Calestano, ,, ,,de Calestano  ,,
de, ,Calignano, ,, ,,de Calignano  ,,
de, ,Cambio, ,, ,,de Cambio  ,,
de, ,Camera, ,, ,,de Camera  ,,
de, ,Camino, ,, ,,de Camino  ,,
de, ,Campelio, ,, ,,de Campelio  ,,
de, ,Campenago, ,, ,,de Campenago  ,,
de, ,Campionibus, ,, ,,de Campionibus  ,,
de, ,Campis, ,, ,,de Campis  ,,
de, ,Campomorono, ,, ,,de Campomorono  ,,
de, ,Camponestaxio, ,, ,,de Camponestaxio  ,,
de, ,Camuliano, ,, ,,de Camuliano  ,,
de, ,Camulio,,, ,,de Camulio ,,
de, ,Canalis, ,, ,,de Canalis  ,,
de, ,Cancelleriis, ,, ,,de Cancelleriis  ,,
