o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set/o:id,o:item_set/dcterms:title,o:media/o:id,o:media/file,dcterms:title,dcterms:creator,dcterms:description,dcterms:publisher,dcterms:date,dcterms:type,dcterms:identifier,dcterms:language,dcterms:rights,dcterms:alternative,dcterms:isReplacedBy,dcterms:replaces,dcterms:isPartOf,dcterms:isReferencedBy,dcterms:rightsHolder,bibo:cites,bibo:editor,bibo:edition,bibo:identifier,bibo:isbn,bibo:issn,bibo:pageEnd,bibo:pageStart,bibo:shortDescription,bibo:shortTitle,bibo:volume,scripto:transcription,cidoc-crm:P7_took_place_at,cidoc-crm:P53_has_former_or_current_location,cidoc-crm:P48_has_preferred_identifier,cidoc-crm:P107_has_current_or_former_member,cidoc-crm:P14_carried_out_by,cidoc-crm:P12_occurred_in_the_presence_of,cidoc-crm:P104i_applies_to,cidoc-crm:P30_transferred_custody_of,cidoc-crm:P11_had_participant,cidoc-crm:P138_represents,cidoc-crm:P51_has_former_or_current_owner,cidoc-crm:P67_refers_to,cidoc-crm:P1_is_identified_by,cidoc-crm:P167_was_at,cidoc-crm:P29_custody_received_by,cidoc-crm:P19_was_intended_use_of,cidoc-crm:P139_has_alternative_form,cidoc-crm:P22_transferred_title_to,cidoc-crm:P92i_was_brought_into_existence_by,cidoc-crm:P131_is_identified_by,cidoc-crm:P102_has_title,cidoc-crm:P8_took_place_on_or_within,cidoc-crm:P8i_witnessed,cidoc-crm:P7i_witnessed,cidoc-crm:P2_has_type,cidoc-crm:P50_has_current_keeper,cidoc-crm:P23_transferred_title_from,cidoc-crm:P129_is_about,cidoc-crm:P159_occupied,cidoc-crm:P69_has_association_with,cidoc-crm:P168_place_is_defined_by,cidoc-crm:P3_has_note,cidoc-crm:P167_was_within,cidoc-crm:P175i_starts_after_or_with_the_start_of,cidoc-crm:P184_ends_before_or_with_the_end_of,skos:inScheme,skos:hasTopConcept,skos:topConceptOf,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,skos:note,skos:definition,skos:scopeNote,skos:semanticRelation,skos:broader,skos:narrower,skos:related,skos:exactMatch,skos:closeMatch,fabio:hasPageCount,fabio:hasPlaceOfPublication,fabio:hasPublicationYear,fabio:hasSequenceIdentifier,schema:endDate,schema:gender,schema:mentions,schema:loanTerm,schema:hasOccupation,schema:startDate,schema:dateCreated,schema:sponsor,schema:numberOfItems,schema:nationality,schema:leaseLength,schema:spouse,schema:additionalName,schema:alternateName,schema:agent,schema:children,cidoc:P1_is_identified_by,cidoc:P2_has_type,cidoc:P3_has_note,cidoc:P7_took_place_at,cidoc:P11_had_participant,cidoc:P12_occurred_in_the_presence_of,cidoc:P22_transferred_title_to,cidoc:P23_transferred_title_from,cidoc:P24_transferred_title_of,cidoc:P29_custody_received_by,cidoc:P30_transferred_custody_of,cidoc:P44_has_condition,cidoc:P48_has_preferred_identifier,cidoc:P49_has_former_or_current_keeper,cidoc:P51_has_former_or_current_owner,cidoc:P53_has_former_or_current_location,cidoc:P67_refers_to,cidoc:P72_has_language,cidoc:P92i_was_brought_into_existence_by,cidoc:P102_has_title,cidoc:P105_right_held_by,cidoc:P106i_forms_part_of,cidoc:P140i_was_attributed_by,cidoc:P152_has_parent,cidoc:P190_has_symbolic_content
26025,http://www.genoesemerchantnetworks.com/s/main/item/26025,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,corrigiarius,,"A person named as a ""corrigiarius"" is someone who works as a belt maker.",,,,cd5786a8-f69f-4fc6-9e71-743467f9acc3,,,"corrigiario | correggiaro | corrigarius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26036,http://www.genoesemerchantnetworks.com/s/main/item/26036,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,notarius,,"A person named as a ""notarius"" is someone who works as a notary.",,,,ecc24d1e-e829-439c-80cd-221454564a98,,,"notario | notarii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26052,http://www.genoesemerchantnetworks.com/s/main/item/26052,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,botarius,,"A person named as a ""botarius"" is someone who works as a cooper, a craftsman who makes and repairs barrels and similar wooden vessels such as casks, buckets and tubs.",,,,45c9a07b-0e8f-4c1c-998f-3300df5b5b0f,,,bottaio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26084,http://www.genoesemerchantnetworks.com/s/main/item/26084,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,bancherius,,"A person named as a ""bancherius"" refers to someone who works as a banker.",,,,d960cc2d-dd95-4e54-9948-8fb245932c2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26110,http://www.genoesemerchantnetworks.com/s/main/item/26110,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,lanerius,,"A person named as a ""lanerius"" is someone who works as a wool merchant. This is generally an entrepreneurial figure who operates one or more wool shops and hires a variety of wool workers.",,,,5be474f3-79ac-440f-8d89-c5b40eb45a96,,,lanerio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26113,http://www.genoesemerchantnetworks.com/s/main/item/26113,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,marinarius,,"A person named as a ""marinarius"" is a maritime crew with duties related to the operation of the vessel.",,,,466319cb-2e73-4db3-b571-24c69cf8639f,,,marinario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26194,http://www.genoesemerchantnetworks.com/s/main/item/26194,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,calzolarius,,"A person named as a ""calzolarius"" was someone who worked as a cobbler.",,,,455981b9-0875-4165-b7dd-5e38bea9a251,,,"calsolario | calsolarius | calsorarius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://vocab.getty.edu/aat/300136719 cobblers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26195,http://www.genoesemerchantnetworks.com/s/main/item/26195,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,macellarius,,"A person named as a ""macellarius"" is someone who works as a butcher.",,,,14670464-2ff5-44dd-bf66-024d41e22380,,,"macelario | macellaio | maccellaro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26239,http://www.genoesemerchantnetworks.com/s/main/item/26239,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,stagnarius,,"A person named as a ""stagnarius"" is somene who works as a tinsmith, generally an independent master artisan with a workshop.",,,,14ba2035-0d57-456a-95b4-f8146ddb0c98,,,stagnarii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"See Florence de Roover, Glossary, p. 279.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26264,http://www.genoesemerchantnetworks.com/s/main/item/26264,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true,,,,,peliparius,,"A person named as a ""peliparius"" is someone who works as a pelter.",,,,9df23ec9-05d2-450c-b1cd-c0c24a9fc5eb,,,"pelliparius | pellissarius | pellizzaro | pellissaro | pelissaro | pellissano",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
