o:id,o:resource_template,o:resource_class,o:owner,o:is_public,dcterms:title,dcterms:creator,dcterms:description,dcterms:date,dcterms:type,dcterms:identifier,dcterms:rights,dcterms:alternative,dcterms:isReplacedBy,dcterms:replaces,dcterms:isPartOf,dcterms:isReferencedBy,dcterms:references,dcterms:rightsHolder,bibo:identifier,bibo:shortDescription,foaf:gender,foaf:membershipClass,cidoc-crm:P7_took_place_at,cidoc-crm:P104_is_subject_to,cidoc-crm:P4_has_time-span,cidoc-crm:P53_has_former_or_current_location,cidoc-crm:P48_has_preferred_identifier,cidoc-crm:P108_has_produced,cidoc-crm:P152_has_parent,cidoc-crm:P107_has_current_or_former_member,cidoc-crm:P143_joined,cidoc-crm:P14_carried_out_by,cidoc-crm:P30_transferred_custody_of,cidoc-crm:P11_had_participant,cidoc-crm:P126_employed,cidoc-crm:P107i_is_current_or_former_member_of,cidoc-crm:P138_represents,cidoc-crm:P51_has_former_or_current_owner,cidoc-crm:P67_refers_to,cidoc-crm:P149_is_identified_by,cidoc-crm:P167_was_at,cidoc-crm:P29_custody_received_by,cidoc-crm:P19_was_intended_use_of,cidoc-crm:P139_has_alternative_form,cidoc-crm:P22_transferred_title_to,cidoc-crm:P131_is_identified_by,cidoc-crm:P8_took_place_on_or_within,cidoc-crm:P27i_was_origin_of,cidoc-crm:P7i_witnessed,cidoc-crm:P2_has_type,cidoc-crm:P50_has_current_keeper,cidoc-crm:P23_transferred_title_from,cidoc-crm:P159_occupied,cidoc-crm:P69_has_association_with,cidoc-crm:P168_place_is_defined_by,cidoc-crm:P3_has_note
40704,"Property (Real Estate)",cidoc-crm:E19_Physical_Object,steven.teasdale@alumni.utoronto.ca,true,"The house of Carlo Lomellini",,,1469-04-18,,d91b5e68-68fc-466d-88c4-71fc89ebe20a,,"domo Caroli Lomellini quondam Sorleone",,26082,,,,,,,,,,,,26315,,,,,,,,,,,,24157,,,,,,,,,,,,House,,,,,,
40442,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,"Nicoletta died before producing any children.",,,,,,,,,,,,,,female,nobiles,,,1558–1569,,"Nicoletta Lomellini",,"24030 | 25560",,40441,,,,,,,,,c1d0802b-cdeb-48ca-8515-7ccda3c67a23,,,,,,"Nicoletta Lomellini q. Bartolomeo q. Stefano",,,,,,,,,,
40441,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,,,"Giovanni Battista Cattaneo",,,,40442,,,,,,,,,2c2fa01e-1089-4878-acca-bcd8af83add9,,,,,,"Giovanni Battista Cattaneo q. Francesco",,,,,,,,,,
39488,Asecuratio,bibo:LegalDocument,steven.teasdale@alumni.utoronto.ca,true,"Tommaso Duracino, filza 7, series I, nr. 241",23448,,1463-11-16,"Asecuratio sclave",,,,,,37838,,,"Archivio di stato di Genova",8bf8046d-97db-4216-b4bd-35ac814a26f6,,,,,,,,,,,,,,39172,,,,,,,,,,,,23215,,,,,,,24010,,,,
39474,Asecuratio,bibo:LegalDocument,steven.teasdale@alumni.utoronto.ca,true,"Tommaso Duracino, filza 6, series I, nr. 348",23448,,1461-10-10,"Asecuratio sclave",,,,,,37837,,,"Archivio di stato di Genova",e63654e3-d857-416e-a4b6-c0be5ad70bde,,,,,,,,,,,,,,39099,,,,,,,,,,,,24230,,,,,,,23662,,,,
39469,Asecuratio,bibo:LegalDocument,steven.teasdale@alumni.utoronto.ca,true,"Tommaso Duracino, filza 6, series I, nr. 202",23448,,1461-05-30,"Asecuratio sclave",,,,,,37837,,,"Archivio di stato di Genova",b74f539e-f763-4d5a-9296-198bfc5b82e9,,,,,,,,,,,,,,39031,,,,,,,,,,,,23910,,,,,,,23662,,,,
39432,Asecuratio,bibo:LegalDocument,steven.teasdale@alumni.utoronto.ca,true,"Tommaso Duracino, filza 3, series I, nr. 188",23448,"A certain Battista de Sancto Ulcixio obtains insurance against the risk of death from childbirth from the underwriter Baldassare Lomellini for the enslaved woman named Lucia, whose nationality is not indicated and who is approximately 18 years of age and about seven months pregnant, for coverage of 150 Genoese lire.",1457-06-21,"Asecuratio sclave",,,,,,37834,,,"Archivio di stato di Genova",db525505-053f-4126-a4bb-f02eafefe21c,,,,26035,,,,,,,,,,39071,,,,,,,,,,,,26686,,"Ianue in Bancis sub porticu domus Angeli de Nigro et fratris",,"40584 | 40587",,,24010,,,,
39431,Asecuratio,bibo:LegalDocument,steven.teasdale@alumni.utoronto.ca,true,"Tommaso Duracino, filza 3, series I, nr. 145",23448,"A certain Bernabo Revello obtains insurance against the risk of death from childbirth from the underwriter Baldassare Lomellini for the enslaved woman named Caterina, whose nationality is not indicated, and who is approximately 25 years of age and about seven months pregnant. The value of the coverage is not specified.",1457-05-13,"Asecuratio sclave",,,,,,37834,,,"Archivio di stato di Genova",3ba09e90-3896-498c-a5b8-d1c9d4d4a029,,,,26035,,,,,,,,,,39057,,,,,,,,,,,,38678,,"Ianue in Bancis sub porticu domus Angeli de Nigro et fratris",,"40591 | 40594",,,24010,,,,
38611,Person,cidoc-crm:E21_Person,steven.teasdale@alumni.utoronto.ca,true,,,,,,,,,,,,,,,,,male,nobiles,,,1444–1475,,"Raffaele Cattaneo",,"23228 | 24325",,,,,,,31356,,,,26117ef2-d9ba-4484-a71d-d327fff2bb06,,,,"nobili Raphael Catanei | Raphaelis Catanei etiam civis Ianue quondam Raphael",,"Raffaele Cattaneo q. Raffaele",,,,,,,,,,
36402,Venditio,bibo:LegalDocument,steven.teasdale@alumni.utoronto.ca,true,"Giovanni Danove, filza 2, series I, nr. 415",31238,,1468,"Venditio sclave",,,,,,,,,"Archivio di stato di Genova",a2e5125f-b4aa-458d-921b-9a0823eb6b6d,,,,,,,,,,,,,,35700,,,,,,,,,,,,24157,,,,,,,23209,,,,
