o:id,o:resource_template,o:resource_class,o:owner,o:is_public,dcterms:title,dcterms:creator,dcterms:description,dcterms:date,dcterms:type,dcterms:identifier,dcterms:language,dcterms:rights,dcterms:alternative,dcterms:isReplacedBy,dcterms:replaces,dcterms:isPartOf,dcterms:isReferencedBy,dcterms:rightsHolder,bibo:authorList,bibo:cites,bibo:identifier,bibo:issn,bibo:pageEnd,bibo:pageStart,bibo:shortDescription,bibo:shortTitle,bibo:volume,foaf:gender,foaf:membershipClass,cidoc-crm:P7_took_place_at,cidoc-crm:P104_is_subject_to,cidoc-crm:P4_has_time-span,cidoc-crm:P53_has_former_or_current_location,cidoc-crm:P48_has_preferred_identifier,cidoc-crm:P108_has_produced,cidoc-crm:P152_has_parent,cidoc-crm:P107_has_current_or_former_member,cidoc-crm:P143_joined,cidoc-crm:P75_possesses,cidoc-crm:P14_carried_out_by,cidoc-crm:P12_occurred_in_the_presence_of,cidoc-crm:P104i_applies_to,cidoc-crm:P30_transferred_custody_of,cidoc-crm:P11_had_participant,cidoc-crm:P126_employed,cidoc-crm:P107i_is_current_or_former_member_of,cidoc-crm:P138_represents,cidoc-crm:P51_has_former_or_current_owner,cidoc-crm:P67_refers_to,cidoc-crm:P53i_is_former_or_current_location_of,cidoc-crm:P1_is_identified_by,cidoc-crm:P93i_was_taken_out_of_existence_by,cidoc-crm:P149_is_identified_by,cidoc-crm:P167_was_at,cidoc-crm:P29_custody_received_by,cidoc-crm:P19_was_intended_use_of,cidoc-crm:P139_has_alternative_form,cidoc-crm:P22_transferred_title_to,cidoc-crm:P131_is_identified_by,cidoc-crm:P102_has_title,cidoc-crm:P8_took_place_on_or_within,cidoc-crm:P8i_witnessed,cidoc-crm:P27i_was_origin_of,cidoc-crm:P7i_witnessed,cidoc-crm:P2_has_type,cidoc-crm:P50_has_current_keeper,cidoc-crm:P23_transferred_title_from,cidoc-crm:P129_is_about,cidoc-crm:P159_occupied,cidoc-crm:P69_has_association_with,cidoc-crm:P168_place_is_defined_by,cidoc-crm:P3_has_note,cidoc-crm:P82a_begin_of_the_begin,cidoc-crm:P82b_end_of_the_end,cidoc-crm:P167_was_within,cidoc-crm:P175i_starts_after_or_with_the_start_of,cidoc-crm:P184_ends_before_or_with_the_end_of
44240,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"Valenza was a commune in the province of Alessandria which was under Milanese control during the late medieval and early modern periods.",,,341579e9-3c5f-4e5b-8fb5-d92f3c7ba9e5,,,,,,,,,,,,,,,,,,,,,,,"http://www.geonames.org/3164920 Valenza",Valenza,,,,,,,,,,,,,,,,,,,,,,,"de Valentia",,,,,,,,,,,,,,,,,,,,
44191,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"Città di Castello was a commune in the province of Perugia that became part of the Papal State in 1502.",,,62a84d0a-07c2-4ff6-8df6-288c6f73ebd1,,,,,,,"https://en.wikipedia.org/wiki/Citt%C3%A0_di_Castello Città di Castello (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/3178619 Città di Castello","Città di Castello",,,,,,,,,,,,,,,,,,,,,,,"de Civitate Casteli",,,,,,,,,,,,,,,,,,,,
44177,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,e2899010-303d-4c5d-b30d-3c2f77032912,,,,,,,,,,,,,,,,,,,,,,,,"The neighbourhood (contrada) of San Niccolò de Valleclara",,,,,,,,,,,,,,,,,,,,,,,"Ianue in contracta Sancto Nicolai de Valeclara",,,,43993,,,,,,,,,,,,,,,,
44168,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,9e0e8fad-940d-4864-9419-f66e894aa092,,,,,,,,,,,,,,,,,,,,,,,"http://www.geonames.org/443809 Rhodes Harbour","port of Rhodes",,,,,,,,,,,,,,,,,,,,,,,"in canali Rhodi",,,,26150,,,,,,,,,,,,,,,,
44165,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"The Ottoman Empire was an empire centred around Anatolia that existed from the early fourteenth to the early twentith century.",,,3f608645-78aa-4b06-831d-20434e244e48,,,,,,,"https://en.wikipedia.org/wiki/Ottoman_Empire Ottoman Empire (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/323835 Anatolia","Ottoman Empire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44144,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,100c314e-4ada-44c9-8e09-07b5d9781387,,,,,,,"https://en.wikipedia.org/wiki/Narbonne Narbonne (Wikipedia)",,,,,,,,,,,,,,,,"http://www.geonames.org/2990919 Narbonne",Narbonne,,,,,,,,,,,,,,,,,,,,,,,"de Nerbona",,,,31082,,,,,,,,,,,,,,,,
44099,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"In the late medieval and early modern period Tunisia was a region within the Hafsid Kingdom",,,7a0b6857-5f66-4791-a120-c1fd61838428,,,,,,,"https://en.wikipedia.org/wiki/History_of_medieval_Tunisia#Hafsid_dynasty_of_Tunis Hafsid Dynasty of Tunis",,,,,,,,,,,,,,,,"http://www.geonames.org/2464461 Tunisia",Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43994,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,97e61230-ca03-4a11-bada-dee5d97918fa,,,,,,,,,,,,,,,,,,,,,,,,"The neighbourhood (contrada) of nobilium de Calvus et Palavicinus",,,,,,,,,,,,,,,,,,,,,,,"Ianue in contracta nobilium de Calvus et Palavicinus | contracta Calvorum | fondico Palavicinorum",,,,43993,,,,,,,,,,,,,,,,
43993,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,,,,0375cb97-cd4d-4b3c-95cf-91fe60b5d826,,,,,,,,,,,,,,,,,,,,,,,,"The sub-district (conestagia) of Porta dei Vacca",,,,,,,,,,,,,,,,,,,,,,,"contracta Portae Vacarum",,,,40871,,,,,,,,,,,,,,,,
43941,Place,cidoc-crm:E53_Place,steven.teasdale@alumni.utoronto.ca,true,,,"Rossiglione was a commune approximately 40km north-west of the city of Genoa.",,,44cd53b3-7014-492d-9941-e53415419bb4,,,,,,,"https://it.wikipedia.org/wiki/Rossiglione_(Italia) Wikipedia",,,,,,,,,,,,,,,,"http://www.geonames.org/3168908 Rossiglione",Rossiglione,,,,,,,,,,,,,,,,,,,,,,,"de Rusiliono",,,,,,,,,,,,,,,,,,,,
