o:id,o:resource_template,o:resource_class,o:owner,o:is_public
45661,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
45590,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
45505,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
45449,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
45082,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
44950,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
44861,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
44106,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
43874,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
43518,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
43487,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
43475,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
43424,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
43359,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
43152,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
42746,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
42685,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
42112,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
41940,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
41917,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
41666,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
41533,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
41002,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
40951,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
40907,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
40851,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
40486,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
40434,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
40433,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
39679,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
39678,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
39677,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
39668,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
38618,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
37308,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
37112,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
37110,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
31486,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
31308,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
31280,Occupation,cidoc-crm:E2_Temporal_Entity,steven.teasdale@alumni.utoronto.ca,true
